"","st","year","mean.pres.approve","mean.pres.disapprove","presidential.party"
"340","MA",2008,0.232857142857143,0.748571428571429,0
"341","MA",2009,0.706,0.204,1
"342","MD",1989,0.495,0.45,0
"343","MD",1994,0.435,0.54,1
"344","MD",1995,0.44,0.56,1
"345","MD",1996,0.475,0.525,1
"346","MD",1998,0.56,NA,1
"347","MD",1999,0.64,0.33,1
"348","MD",2000,0.63,0.34,1
"349","MD",2002,0.7225,0.18,0
"350","MD",2003,0.48625,0.42125,0
"351","MD",2004,0.43,0.50625,0
"352","MD",2005,0.35,0.613333333333333,0
"353","MD",2006,0.328125,0.64625,0
"354","MD",2007,0.25,0.68,0
"355","MD",2008,0.243333333333333,0.7,0
"356","MD",2009,0.59,0.32,1
"357","ME",1964,0.579473684210526,0.249473684210526,1
"358","ME",1994,0.38,0.6,1
"359","ME",1996,0.555,0.36,1
"360","ME",2000,0.6,0.37,1
"361","ME",2003,0.41,0.5,0
"362","ME",2004,0.46,0.54,0
"363","ME",2005,0.355,0.615,0
"364","ME",2006,0.324545454545455,0.656363636363636,0
"365","ME",2007,0.256666666666667,0.66,0
"366","ME",2008,0.165,0.695,0
"367","ME",2009,0.632,0.292,1
"368","ME",NA,0.45,0.55,0
"369","MI",1993,0.425,0.523333333333333,1
"370","MI",1994,0.4075,0.5625,1
"371","MI",1995,0.483333333333333,0.503333333333333,1
"372","MI",1996,0.49125,0.5025,1
"373","MI",1997,0.62,NA,1
"374","MI",1998,0.64,0.33,1
"375","MI",1999,0.59625,0.37625,1
"376","MI",2000,0.606666666666667,0.38,1
"377","MI",2001,0.8,0.19,0
"378","MI",2002,0.671666666666667,0.316666666666667,0
"379","MI",2003,0.484705882352941,0.499411764705882,0
"380","MI",2004,0.459428571428571,NA,0
"381","MI",2005,0.358125,0.59125,0
"382","MI",2006,0.333461538461538,0.628846153846154,0
"383","MI",2007,0.25875,0.6825,0
"384","MI",2008,0.273333333333333,0.675555555555556,0
"385","MI",2009,0.573333333333333,0.393333333333333,1
"386","MN",1990,0.62,0.34,0
"387","MN",1991,0.7375,0.2075,0
"388","MN",1994,0.453333333333333,0.51,1
"389","MN",1995,0.465,0.49,1
"390","MN",1996,0.53,0.47,1
"391","MN",1998,0.66,NA,1
"392","MN",1999,0.71,0.26,1
"393","MN",2000,0.64,0.34,1
"394","MN",2001,0.685,0.305,0
"395","MN",2002,0.61,0.34,0
"396","MN",2003,0.522222222222222,NA,0
"397","MN",2004,0.474444444444444,0.428888888888889,0
"398","MN",2005,0.40125,0.59,0
"399","MN",2006,0.366666666666667,0.606,0
"400","MN",2007,0.31,0.663571428571429,0
"401","MN",2008,0.302,0.669,0
"402","MN",2009,0.571818181818182,0.354545454545455,1
"403","MO",1994,0.375,0.61,1
"404","MO",1996,0.423333333333333,0.576666666666667,1
"405","MO",2000,0.55,0.42,1
"406","MO",2002,0.666666666666667,0.306666666666667,0
"407","MO",2003,0.6,0.39,0
"408","MO",2004,0.53,0.43,0
"409","MO",2005,0.411428571428571,0.56,0
"410","MO",2006,0.379333333333333,0.595333333333333,0
"411","MO",2007,0.361538461538462,0.614615384615385,0
"412","MO",2008,0.329,0.655,0
"413","MO",2009,0.522222222222222,0.428888888888889,1
"414","MS",1981,0.57,0.43,0
"415","MS",1982,0.46,0.54,0
"416","MS",1984,0.59,0.41,0
"417","MS",1986,0.58,0.42,0
"418","MS",1988,0.625,0.37,0
"419","MS",1990,0.64,0.34,0
"420","MS",1992,0.51,0.47,0
"421","MS",1995,0.3,0.69,1
"422","MS",1996,0.386666666666667,0.613333333333333,1
"423","MS",2000,0.475,0.51,1
"424","MS",2004,0.5125,0.43375,0
"425","MS",2005,0.5,0.467142857142857,0
"426","MS",2006,0.466363636363636,0.505454545454545,0
"427","MS",2008,0.36,0.626,0
"428","MT",1994,0.324,0.634,1
"429","MT",1995,0.385,0.57,1
"430","MT",1996,0.435,0.565,1
"431","MT",1997,0.36,0.64,1
"432","MT",1998,0.41,0.59,1
"433","MT",1999,0.41,0.52,1
"434","MT",2000,0.43,0.54,1
"435","MT",2001,0.84,0.16,0
"436","MT",2002,0.7,0.26,0
"437","MT",2003,0.64,0.355,0
"438","MT",2004,0.5175,0.405,0
"439","MT",2005,0.486666666666667,0.48,0
"440","MT",2006,0.451428571428571,0.515,0
"441","MT",2007,0.335,0.6,0
"442","MT",2008,0.28,0.6,0
"443","MT",2009,0.44,0.52,1
"444","NC",1981,0.61,0.36,0
"445","NC",1982,0.475,0.515,0
"446","NC",1983,0.515,0.465,0
"447","NC",1984,0.63,0.36,0
"448","NC",1988,0.755,0.245,0
"449","NC",1991,0.625,0.23,0
"450","NC",1992,0.44,0.43,0
"451","NC",1993,0.3925,0.495,1
"452","NC",1994,0.375,0.51,1
"453","NC",1995,0.413333333333333,0.516666666666667,1
"454","NC",1996,0.363333333333333,0.636666666666667,1
"455","NC",1998,0.486666666666667,0.513333333333333,1
"456","NC",1999,0.45,0.53,1
"457","NC",2000,0.46,0.523333333333333,1
"458","NC",2001,0.535,0.28,0
"459","NC",2002,0.653333333333333,0.336666666666667,0
"460","NC",2003,0.578947368421053,0.347894736842105,0
"461","NC",2004,0.484,0.431,0
"462","NC",2005,0.421578947368421,0.495263157894737,0
"463","NC",2006,0.43,0.538571428571429,0
"464","NC",2007,0.386666666666667,0.574444444444444,0
"465","NC",2008,0.368333333333333,0.595,0
"466","NC",2009,0.581,0.281,1
"467","ND",1964,0.513157894736842,0.364736842105263,1
"468","ND",1996,0.36,0.64,1
"469","ND",2000,0.52,0.47,1
"470","ND",2004,0.49,0.435,0
"471","ND",2005,0.491428571428571,0.467142857142857,0
"472","ND",2006,0.450909090909091,0.506363636363636,0
"473","ND",2008,0.34,0.65,0
"474","NE",1964,0.48,0.396111111111111,1
"475","NE",1991,0.785,0.2,0
"476","NE",1994,0.333333333333333,0.623333333333333,1
"477","NE",1995,0.4,0.6,1
"478","NE",1996,0.413333333333333,0.586666666666667,1
"479","NE",1998,0.44,0.48,1
"480","NE",2000,0.42,0.54,1
"481","NE",2005,0.544285714285714,0.421428571428571,0
"482","NE",2006,0.489090909090909,0.483636363636364,0
"483","NE",2007,0.41,0.53,0
"484","NE",2008,0.3,0.655,0
"485","NH",1968,0.478,0.426,1
"486","NH",1991,0.625,0.22,0
"487","NH",1993,0.417142857142857,0.418571428571429,1
"488","NH",1994,0.404285714285714,0.48,1
"489","NH",1995,0.416,NA,1
"490","NH",1996,0.52,NA,1
"491","NH",1997,0.33,0.67,1
"492","NH",1998,0.64,0.333333333333333,1
"493","NH",1999,0.54,0.42,1
"494","NH",2000,0.561666666666667,0.386666666666667,1
"495","NH",2001,0.92,0.06,0
"496","NH",2002,0.638333333333333,0.268333333333333,0
"497","NH",2003,0.568846153846154,NA,0
"498","NH",2004,0.444166666666667,0.476666666666667,0
"499","NH",2005,0.406,0.56,0
"500","NH",2006,0.351333333333333,0.62,0
"501","NH",2007,0.278,0.638,0
"502","NH",2008,0.196666666666667,0.716666666666667,0
"503","NH",2009,0.5575,0.35375,1
"504","NJ",1983,0.49,0.5,0
"505","NJ",1984,0.46,0.52,0
"506","NJ",1985,0.57,0.403333333333333,0
"507","NJ",1986,0.66,0.31,0
"508","NJ",1987,0.54,0.4375,0
"509","NJ",1988,0.592,0.392,0
"510","NJ",1989,0.54,0.37,0
"511","NJ",1990,0.6,0.36,0
"512","NJ",1991,0.653333333333333,0.336666666666667,0
"513","NJ",1992,NA,NA,0
"514","NJ",1993,0.338571428571429,0.589285714285714,1
"515","NJ",1994,0.456666666666667,0.516666666666667,1
"516","NJ",1995,0.376666666666667,NA,1
"517","NJ",1996,0.505,NA,1
"518","NJ",1997,0.533333333333333,0.45,1
"519","NJ",1998,0.644,0.338,1
"520","NJ",1999,0.59,0.39375,1
"521","NJ",2000,0.616,0.348,1
"522","NJ",2001,0.68,0.255,0
"523","NJ",2002,0.661666666666667,0.291666666666667,0
