"","state","year","total_popular_votes","Republican_Popular_Vote","Percent_Republican_Popular_Vote","Democrat_Popular_Votes","Percent_Democrat_Popular_Vote","Third_Party_Popular_Vote","Percent_Third_Party_Popular_Vote"
"11","Alabama",1952,"426,120","149,231","35.0","275,075","64.6",NA,NA
"12","Arizona",1952,"260,570","152,042","58.3","108,528","41.7",NA,NA
"13","Arkansas",1952,"404,800","177,155","43.8","226,300","55.9",NA,NA
"14","California",1952,"5,141,849","2,897,310","56.3","2,197,548","42.7",NA,NA
"15","Colorado",1952,"630,103","379,782","60.3","245,504","39.0",NA,NA
"16","Connecticut",1952,"1,096,911","611,012","55.7","481,649","43.9",NA,NA
"17","Delaware",1952,"174,025","90,059","51.8","83,315","47.9",NA,NA
"18","Florida",1952,"989,337","544,036","55.0","444,950","45.0",NA,NA
"19","Georgia",1952,"655,785","198,961","30.3","456,823","69.7",NA,NA
"20","Idaho",1952,"276,254","180,707","65.4","95,081","34.4",NA,NA
"21","Illinois",1952,"4,481,058","2,457,327","54.8","2,013,920","44.9",NA,NA
"22","Indiana",1952,"1,955,049","1,136,259","58.1","801,530","41.0",NA,NA
"23","Iowa",1952,"1,268,773","808,906","63.8","451,513","35.6",NA,NA
"24","Kansas",1952,"896,166","616,302","68.8","273,296","30.5",NA,NA
"25","Kentucky",1952,"993,148","495,029","49.8","495,729","49.9",NA,NA
"26","Louisiana",1952,"651,952","306,925","47.1","345,027","52.9",NA,NA
"27","Maine",1952,"351,786","232,353","66.0","118,806","33.8",NA,NA
"28","Maryland",1952,"902,074","499,424","55.4","395,337","43.8",NA,NA
"29","Massachusetts",1952,"2,383,398","1,292,325","54.2","1,083,525","45.5",NA,NA
"30","Michigan",1952,"2,798,592","1,551,529","55.4","1,230,657","44.0",NA,NA
"31","Minnesota",1952,"1,379,483","763,211","55.3","608,458","44.1",NA,NA
"32","Mississippi",1952,"285,532","112,966","39.6","172,566","60.4",NA,NA
"33","Missouri",1952,"1,892,062","959,429","50.7","929,830","49.1",NA,NA
"34","Montana",1952,"265,037","157,394","59.4","106,213","40.1",NA,NA
"35","Nebraska",1952,"609,660","421,603","69.2","188,057","30.8",NA,NA
"36","Nevada",1952,"82,190","50,502","61.4","31,688","38.6",NA,NA
"37","New Hampshire",1952,"272,950","166,287","60.9","106,663","39.1",NA,NA
"38","New Jersey",1952,"2,418,554","1,373,613","56.8","1,015,902","42.0",NA,NA
"39","New Mexico",1952,"238,608","132,170","55.4","105,661","44.3",NA,NA
"40","New York",1952,"7,128,239","3,952,813","55.5","3,104,601","43.6",NA,NA
"41","North Carolina",1952,"1,210,910","558,107","46.1","652,803","53.9",NA,NA
"42","North Dakota",1952,"270,127","191,712","71.0","76,694","28.4",NA,NA
"43","Ohio",1952,"3,700,758","2,100,391","56.8","1,600,367","43.2",NA,NA
"44","Oklahoma",1952,"948,984","518,045","54.6","430,939","45.4",NA,NA
"45","Oregon",1952,"695,059","420,815","60.5","270,579","38.9",NA,NA
"46","Pennsylvania",1952,"4,580,969","2,415,789","52.7","2,146,269","46.9",NA,NA
"47","Rhode Island",1952,"414,498","210,935","50.9","203,293","49.0",NA,NA
"48","South Carolina",1952,"341,087","9,793","2.9","173,004","50.7",NA,NA
"49","South Dakota",1952,"294,283","203,857","69.3","90,426","30.7",NA,NA
"50","Tennessee",1952,"892,553","446,147","50.0","443,710","49.7",NA,NA
"51","Texas",1952,"2,075,946","1,102,878","53.1","969,228","46.7",NA,NA
"52","Utah",1952,"329,554","194,190","58.9","135,364","41.1",NA,NA
"53","Vermont",1952,"153,557","109,717","71.5","43,355","28.2",NA,NA
"54","Virginia",1952,"619,689","349,037","56.3","268,677","43.4",NA,NA
"55","Washington",1952,"1,102,708","599,107","54.3","492,845","44.7",NA,NA
"56","West Virginia",1952,"873,548","419,970","48.1","453,578","51.9",NA,NA
"57","Wisconsin",1952,"1,607,370","979,744","61.0","622,175","38.7",NA,NA
"58","Wyoming",1952,"129,253","81,049","62.7","47,934","37.1",NA,NA
"111","Alabama",1956,"496,861","195,694","39.4","280,844","56.5",NA,NA
"121","Arizona",1956,"290,173","176,990","61.0","112,880","38.9",NA,NA
"131","Arkansas",1956,"406,572","186,287","45.8","213,277","52.5",NA,NA
"141","California",1956,"5,466,355","3,027,668","55.4","2,420,135","44.3",NA,NA
"151","Colorado",1956,"657,074","394,479","60.0","257,997","39.3",NA,NA
"161","Connecticut",1956,"1,117,121","711,837","63.7","405,079","36.3",NA,NA
"171","Delaware",1956,"177,988","98,057","55.1","79,421","44.6",NA,NA
"181","Florida",1956,"1,125,762","643,849","57.2","480,371","42.7",NA,NA
"191","Georgia",1956,"669,655","222,778","33.3","444,688","66.4",NA,NA
"201","Idaho",1956,"272,989","166,979","61.2","105,868","38.8",NA,NA
"211","Illinois",1956,"4,407,407","2,623,327","59.5","1,775,682","40.3",NA,NA
"221","Indiana",1956,"1,974,607","1,182,811","59.9","783,908","39.7",NA,NA
"231","Iowa",1956,"1,234,564","729,187","59.1","501,858","40.7",NA,NA
"241","Kansas",1956,"866,243","566,878","65.4","296,317","34.2",NA,NA
"251","Kentucky",1956,"1,053,805","572,192","54.3","476,453","45.2",NA,NA
"261","Louisiana",1956,"617,544","329,047","53.3","243,977","39.5",NA,NA
"271","Maine",1956,"351,706","249,238","70.9","102,468","29.1",NA,NA
"281","Maryland",1956,"932,827","559,738","60.0","372,613","39.9",NA,NA
"291","Massachusetts",1956,"2,348,506","1,393,197","59.3","948,190","40.4",NA,NA
"301","Michigan",1956,"3,080,468","1,713,647","55.6","1,359,898","44.1",NA,NA
"311","Minnesota",1956,"1,340,005","719,302","53.7","617,525","46.1",NA,NA
"321","Mississippi",1956,"248,104","60,685","24.5","144,453","58.2",NA,NA
"331","Missouri",1956,"1,832,562","914,289","49.9","918,273","50.1",NA,NA
"341","Montana",1956,"271,171","154,933","57.1","116,238","42.9",NA,NA
"351","Nebraska",1956,"577,137","378,108","65.5","199,029","34.5",NA,NA
"361","Nevada",1956,"96,689","56,049","58.0","40,640","42.0",NA,NA
"371","New Hampshire",1956,"266,994","176,519","66.1","90,364","33.8",NA,NA
"381","New Jersey",1956,"2,484,312","1,606,942","64.7","850,337","34.2",NA,NA
"391","New Mexico",1956,"253,926","146,788","57.8","106,098","41.8",NA,NA
"401","New York",1956,"7,095,971","4,345,506","61.2","2,747,944","38.7",NA,NA
"411","North Carolina",1956,"1,165,592","575,062","49.3","590,530","50.7",NA,NA
"421","North Dakota",1956,"253,991","156,766","61.7","96,742","38.1",NA,NA
"431","Ohio",1956,"3,702,265","2,262,610","61.1","1,439,655","38.9",NA,NA
"441","Oklahoma",1956,"859,350","473,769","55.1","385,581","44.9",NA,NA
"451","Oregon",1956,"736,132","406,393","55.2","329,204","44.7",NA,NA
"461","Pennsylvania",1956,"4,576,503","2,585,252","56.5","1,981,769","43.3",NA,NA
"471","Rhode Island",1956,"387,609","225,819","58.3","161,790","41.7",NA,NA
"481","South Carolina",1956,"300,583","75,700","25.2","136,372","45.4",NA,NA
"491","South Dakota",1956,"293,857","171,569","58.4","122,288","41.6",NA,NA
"501","Tennessee",1956,"939,404","462,288","49.2","456,507","48.6",NA,NA
"511","Texas",1956,"1,955,168","1,080,619","55.3","859,958","44.0",NA,NA
"521","Utah",1956,"333,995","215,631","64.6","118,364","35.4",NA,NA
"531","Vermont",1956,"152,978","110,390","72.2","42,549","27.8",NA,NA
"541","Virginia",1956,"697,978","386,459","55.4","267,760","38.4",NA,NA
"551","Washington",1956,"1,150,889","620,430","53.9","523,002","45.4",NA,NA
"561","West Virginia",1956,"830,831","449,297","54.1","381,534","45.9",NA,NA
"571","Wisconsin",1956,"1,550,558","954,844","61.6","586,768","37.8",NA,NA
"581","Wyoming",1956,"124,127","74,573","60.1","49,554","39.9",NA,NA
"9","Alabama",1960,"570,225","237,981","41.7","324,050","56.8",NA,NA
"10","Alaska",1960,"60,762","30,953","50.9","29,809","49.1",NA,NA
"112","Arizona",1960,"398,491","221,241","55.5","176,781","44.4",NA,NA
"122","Arkansas",1960,"428,509","184,508","43.1","215,049","50.2",NA,NA
"132","California",1960,"6,506,578","3,259,722","50.1","3,224,099","49.6",NA,NA
"142","Colorado",1960,"736,236","402,242","54.6","330,629","44.9",NA,NA
"152","Connecticut",1960,"1,222,883","565,813","46.3","657,055","53.7",NA,NA
"162","Delaware",1960,"196,683","96,373","49.0","99,590","50.6",NA,NA
"172","Florida",1960,"1,544,176","795,476","51.5","748,700","48.5",NA,NA
"182","Georgia",1960,"733,349","274,472","37.4","458,638","62.5",NA,NA
"192","Hawaii",1960,"184,705","92,295","50.0","92,410","50.0",NA,NA
"202","Idaho",1960,"300,450","161,597","53.8","138,853","46.2",NA,NA
"212","Illinois",1960,"4,757,409","2,368,988","49.8","2,377,846","50.0",NA,NA
"222","Indiana",1960,"2,135,360","1,175,120","55.0","952,358","44.6",NA,NA
"232","Iowa",1960,"1,273,810","722,381","56.7","550,565","43.2",NA,NA
"242","Kansas",1960,"928,825","561,474","60.4","363,213","39.1",NA,NA
"252","Kentucky",1960,"1,124,462","602,607","53.6","521,855","46.4",NA,NA
"262","Louisiana",1960,"807,891","230,980","28.6","407,339","50.4",NA,NA
"272","Maine",1960,"421,767","240,608","57.0","181,159","43.0",NA,NA
"282","Maryland",1960,"1,055,349","489,538","46.4","565,808","53.6",NA,NA
"292","Massachusetts",1960,"2,469,480","976,750","39.6","1,487,174","60.2",NA,NA
"302","Michigan",1960,"3,318,097","1,620,428","48.8","1,687,269","50.9",NA,NA
"312","Minnesota",1960,"1,541,887","757,915","49.2","779,933","50.6",NA,NA
"322","Mississippi",1960,"298,171","73,561","24.7","108,362","36.3",NA,NA
"332","Missouri",1960,"1,934,422","962,221","49.7","972,201","50.3",NA,NA
"342","Montana",1960,"277,579","141,841","51.1","134,891","48.6",NA,NA
"352","Nebraska",1960,"613,095","380,553","62.1","232,542","37.9",NA,NA
"362","Nevada",1960,"107,267","52,387","48.8","54,880","51.2",NA,NA
"372","New Hampshire",1960,"295,761","157,989","53.4","137,772","46.6",NA,NA
"382","New Jersey",1960,"2,773,111","1,363,324","49.2","1,385,415","50.0",NA,NA
"392","New Mexico",1960,"311,107","153,733","49.4","156,027","50.2",NA,NA
"402","New York",1960,"7,291,079","3,446,419","47.3","3,830,085","52.5",NA,NA
"412","North Carolina",1960,"1,368,556","655,420","47.9","713,136","52.1",NA,NA
"422","North Dakota",1960,"278,431","154,310","55.4","123,963","44.5",NA,NA
"432","Ohio",1960,"4,161,859","2,217,611","53.3","1,944,248","46.7",NA,NA
"442","Oklahoma",1960,"903,150","533,039","59.0","370,111","41.0",NA,NA
"452","Oregon",1960,"776,421","408,060","52.6","367,402","47.3",NA,NA
"462","Pennsylvania",1960,"5,006,541","2,439,956","48.7","2,556,282","51.1",NA,NA
"472","Rhode Island",1960,"405,535","147,502","36.4","258,032","63.6",NA,NA
"482","South Carolina",1960,"386,688","188,558","48.8","198,129","51.2",NA,NA
"492","South Dakota",1960,"306,487","178,417","58.2","128,070","41.8",NA,NA
"502","Tennessee",1960,"1,051,792","556,577","52.9","481,453","45.8",NA,NA
"512","Texas",1960,"2,311,084","1,121,310","48.5","1,167,567","50.5",NA,NA
"522","Utah",1960,"374,709","205,361","54.8","169,248","45.2",NA,NA
"532","Vermont",1960,"167,324","98,131","58.6","69,186","41.3",NA,NA
"542","Virginia",1960,"771,449","404,521","52.4","362,327","47.0",NA,NA
"552","Washington",1960,"1,241,572","629,273","50.7","599,298","48.3",NA,NA
"562","West Virginia",1960,"837,781","395,995","47.3","441,786","52.7",NA,NA
"572","Wisconsin",1960,"1,729,082","895,175","51.8","830,805","48.0",NA,NA
"582","Wyoming",1960,"140,782","77,451","55.0","63,331","45.0",NA,NA
"101","Alabama",1964,"689,818","479,085","69.5","--","0.0",NA,NA
"113","Alaska",1964,"67,259","22,930","34.1","44,329","65.9",NA,NA
"123","Arizona",1964,"480,770","242,535","50.4","237,753","49.5",NA,NA
"133","Arkansas",1964,"560,426","243,264","43.4","314,197","56.1",NA,NA
"143","California",1964,"7,057,586","2,879,108","40.8","4,171,877","59.1",NA,NA
"153","Colorado",1964,"776,986","296,767","38.2","476,024","61.3",NA,NA
"163","Connecticut",1964,"1,218,578","390,996","32.1","826,269","67.8",NA,NA
"173","Delaware",1964,"201,320","78,078","38.8","122,704","60.9",NA,NA
"183","District of Columbia",1964,"198,597","28,801","14.5","169,796","85.5",NA,NA
"193","Florida",1964,"1,854,481","905,941","48.9","948,540","51.1",NA,NA
"203","Georgia",1964,"1,139,335","616,584","54.1","522,556","45.9",NA,NA
"213","Hawaii",1964,"207,271","44,022","21.2","163,249","78.8",NA,NA
"223","Idaho",1964,"292,477","143,557","49.1","148,920","50.9",NA,NA
"233","Illinois",1964,"4,702,841","1,905,946","40.5","2,796,833","59.5",NA,NA
"243","Indiana",1964,"2,091,606","911,118","43.6","1,170,848","56.0",NA,NA
"253","Iowa",1964,"1,184,539","449,148","37.9","733,030","61.9",NA,NA
"263","Kansas",1964,"857,901","386,579","45.1","464,028","54.1",NA,NA
"273","Kentucky",1964,"1,046,105","372,977","35.7","669,659","64.0",NA,NA
"283","Louisiana",1964,"896,293","509,225","56.8","387,068","43.2",NA,NA
"293","Maine",1964,"380,965","118,701","31.2","262,264","68.8",NA,NA
"303","Maryland",1964,"1,116,457","385,495","34.5","730,912","65.5",NA,NA
"313","Massachusetts",1964,"2,344,798","549,727","23.4","1,786,422","76.2",NA,NA
"323","Michigan",1964,"3,203,102","1,060,152","33.1","2,136,615","66.7",NA,NA
"333","Minnesota",1964,"1,554,462","559,624","36.0","991,117","63.8",NA,NA
"343","Mississippi",1964,"409,146","356,528","87.1","52,618","12.9",NA,NA
"353","Missouri",1964,"1,817,879","653,535","36.0","1,164,344","64.0",NA,NA
"363","Montana",1964,"278,628","113,032","40.6","164,246","58.9",NA,NA
"373","Nebraska",1964,"584,154","276,847","47.4","307,307","52.6",NA,NA
"383","Nevada",1964,"135,433","56,094","41.4","79,339","58.6",NA,NA
"393","New Hampshire",1964,"288,093","104,029","36.1","184,064","63.9",NA,NA
"403","New Jersey",1964,"2,847,663","964,174","33.9","1,868,231","65.6",NA,NA
"413","New Mexico",1964,"328,645","132,838","40.4","194,015","59.0",NA,NA
"423","New York",1964,"7,166,275","2,243,559","31.3","4,913,102","68.6",NA,NA
"433","North Carolina",1964,"1,424,983","624,844","43.8","800,139","56.2",NA,NA
"443","North Dakota",1964,"258,389","108,207","41.9","149,784","58.0",NA,NA
"453","Ohio",1964,"3,969,196","1,470,865","37.1","2,498,331","62.9",NA,NA
"463","Oklahoma",1964,"932,499","412,665","44.3","519,834","55.7",NA,NA
"473","Oregon",1964,"786,305","282,779","36.0","501,017","63.7",NA,NA
"483","Pennsylvania",1964,"4,822,690","1,673,657","34.7","3,130,954","64.9",NA,NA
"493","Rhode Island",1964,"390,091","74,615","19.1","315,463","80.9",NA,NA
"503","South Carolina",1964,"524,779","309,048","58.9","215,723","41.1",NA,NA
"513","South Dakota",1964,"293,118","130,108","44.4","163,010","55.6",NA,NA
"523","Tennessee",1964,"1,143,946","508,965","44.5","634,947","55.5",NA,NA
"533","Texas",1964,"2,626,811","958,566","36.5","1,663,185","63.3",NA,NA
"543","Utah",1964,"401,413","181,785","45.3","219,628","54.7",NA,NA
"553","Vermont",1964,"163,089","54,942","33.7","108,127","66.3",NA,NA
"563","Virginia",1964,"1,042,267","481,334","46.2","558,038","53.5",NA,NA
"573","Washington",1964,"1,258,556","470,366","37.4","779,881","62.0",NA,NA
"583","West Virginia",1964,"792,040","253,953","32.1","538,087","67.9",NA,NA
"59","Wisconsin",1964,"1,691,815","638,495","37.7","1,050,424","62.1",NA,NA
"60","Wyoming",1964,"142,716","61,998","43.4","80,718","56.6",NA,NA
"91","Alabama",1968,"1,049,922","146,923","14.0","196,579","18.7","691,425","65.9"
"102","Alaska",1968,"83,035","37,600","45.3","35,411","42.6","10,024","12.1"
"114","Arizona",1968,"486,936","266,721","54.8","170,514","35.0","46,573","9.6"
"124","Arkansas",1968,"619,969","190,759","30.8","188,228","30.4","240,982","38.9"
"134","California",1968,"7,251,587","3,467,664","47.8","3,244,318","44.7","487,270","6.7"
"144","Colorado",1968,"811,199","409,345","50.5","335,174","41.3","60,813","7.5"
"154","Connecticut",1968,"1,256,232","556,721","44.3","621,561","49.5","76,650","6.1"
"164","Delaware",1968,"214,367","96,714","45.1","89,194","41.6","28,459","13.3"
"174","District of Columbia",1968,"170,578","31,012","18.2","139,566","81.8","--","0.0"
"184","Florida",1968,"2,187,805","886,804","40.5","676,794","30.9","624,207","28.5"
"194","Georgia",1968,"1,250,266","380,111","30.4","334,440","26.7","535,550","42.8"
"204","Hawaii",1968,"236,218","91,425","38.7","141,324","59.8","3,469","1.5"
"214","Idaho",1968,"291,183","165,369","56.8","89,273","30.7","36,541","12.5"
"224","Illinois",1968,"4,619,749","2,174,774","47.1","2,039,814","44.2","390,958","8.5"
"234","Indiana",1968,"2,123,597","1,067,885","50.3","806,659","38.0","243,108","11.4"
"244","Iowa",1968,"1,167,931","619,106","53.0","476,699","40.8","66,422","5.7"
"254","Kansas",1968,"872,783","478,674","54.8","302,996","34.7","88,921","10.2"
"264","Kentucky",1968,"1,055,893","462,411","43.8","397,541","37.6","193,098","18.3"
"274","Louisiana",1968,"1,097,450","257,535","23.5","309,615","28.2","530,300","48.3"
"284","Maine",1968,"392,936","169,254","43.1","217,312","55.3","6,370","1.6"
"294","Maryland",1968,"1,235,039","517,995","41.9","538,310","43.6","178,734","14.5"
"304","Massachusetts",1968,"2,331,752","766,844","32.9","1,469,218","63.0","87,088","3.7"
"314","Michigan",1968,"3,306,250","1,370,665","41.5","1,593,082","48.2","331,968","10.0"
"324","Minnesota",1968,"1,588,506","658,643","41.5","857,738","54.0","68,931","4.3"
"334","Mississippi",1968,"654,509","88,516","13.5","150,644","23.0","415,349","63.5"
"344","Missouri",1968,"1,809,502","811,932","44.9","791,444","43.7","206,126","11.4"
"354","Montana",1968,"274,404","138,835","50.6","114,117","41.6","20,015","7.3"
"364","Nebraska",1968,"536,851","321,163","59.8","170,784","31.8","44,904","8.4"
"374","Nevada",1968,"154,218","73,188","47.5","60,598","39.3","20,432","13.2"
"384","New Hampshire",1968,"297,298","154,903","52.1","130,589","43.9","11,173","3.8"
"394","New Jersey",1968,"2,875,395","1,325,467","46.1","1,264,206","44.0","262,187","9.1"
"404","New Mexico",1968,"327,350","169,692","51.8","130,081","39.7","25,737","7.9"
"414","New York",1968,"6,791,688","3,007,932","44.3","3,378,470","49.7","358,864","5.3"
"424","North Carolina",1968,"1,587,493","627,192","39.5","464,113","29.2","496,188","31.3"
"434","North Dakota",1968,"247,882","138,669","55.9","94,769","38.2","14,244","5.7"
"444","Ohio",1968,"3,959,698","1,791,014","45.2","1,700,586","42.9","467,495","11.8"
"454","Oklahoma",1968,"943,086","449,697","47.7","301,658","32.0","191,731","20.3"
"464","Oregon",1968,"819,622","408,433","49.8","358,866","43.8","49,683","6.1"
"474","Pennsylvania",1968,"4,747,928","2,090,017","44.0","2,259,405","47.6","378,582","8.0"
"484","Rhode Island",1968,"385,000","122,359","31.8","246,518","64.0","15,678","4.1"
"494","South Carolina",1968,"666,978","254,062","38.1","197,486","29.6","215,430","32.3"
"504","South Dakota",1968,"281,264","149,841","53.3","118,023","42.0","13,400","4.8"
"514","Tennessee",1968,"1,248,617","472,592","37.8","351,233","28.1","424,792","34.0"
"524","Texas",1968,"3,079,216","1,227,844","39.9","1,266,804","41.1","584,269","19.0"
"534","Utah",1968,"422,568","238,728","56.5","156,665","31.1","26,906","6.4"
"544","Vermont",1968,"161,404","85,142","52.8","70,255","43.5","5,104","3.2"
"554","Virginia",1968,"1,361,491","590,319","43.4","442,387","32.5","321,833","23.6"
"564","Washington",1968,"1,304,281","588,510","45.1","616,037","47.2","96,990","7.4"
"574","West Virginia",1968,"754,206","307,555","40.8","374,091","49.6","72,560","9.6"
"584","Wisconsin",1968,"1,691,538","809,997","47.9","748,804","44.3","127,835","7.6"
"591","Wyoming",1968,"127,205","70,927","55.8","45,173","35.5","11,105","8.7"
"103","Alabama",1972,"1,006,111","728,701","72.4","256,923","25.5",NA,NA
"115","Alaska",1972,"95,219","55,349","58.1","32,967","34.6",NA,NA
"125","Arizona",1972,"622,926","402,812","64.7","198,540","31.9",NA,NA
"135","Arkansas",1972,"651,320","448,541","68.9","199,892","30.7",NA,NA
"145","California",1972,"8,367,862","4,602,096","55.0","3,475,847","41.5",NA,NA
"155","Colorado",1972,"953,884","597,189","62.6","329,980","34.6",NA,NA
"165","Connecticut",1972,"1,384,277","810,763","58.6","555,498","40.1",NA,NA
"175","Delaware",1972,"235,516","140,357","59.6","92,283","39.2",NA,NA
"185","District of Columbia",1972,"163,421","35,226","21.6","127,627","78.1",NA,NA
"195","Florida",1972,"2,583,283","1,857,759","71.9","718,117","27.8",NA,NA
"205","Georgia",1972,"1,174,772","881,496","75.0","289,529","24.6",NA,NA
"215","Hawaii",1972,"270,274","168,865","62.5","101,409","37.5",NA,NA
"225","Idaho",1972,"310,379","199,384","64.2","80,826","26.0",NA,NA
"235","Illinois",1972,"4,723,236","2,788,179","59.0","1,913,472","40.5",NA,NA
"245","Indiana",1972,"2,125,529","1,405,154","66.1","708,568","33.3",NA,NA
"255","Iowa",1972,"1,225,944","706,207","57.6","496,206","40.5",NA,NA
"265","Kansas",1972,"916,095","619,812","67.7","270,287","29.5",NA,NA
"275","Kentucky",1972,"1,067,499","676,446","63.4","371,159","34.8",NA,NA
"285","Louisiana",1972,"1,051,491","686,852","65.3","298,142","28.4",NA,NA
"295","Maine",1972,"417,042","256,458","61.5","160,584","38.5",NA,NA
"305","Maryland",1972,"1,353,812","829,305","61.3","505,781","37.4",NA,NA
"315","Massachusetts",1972,"2,458,756","1,112,078","45.2","1,332,540","54.2",NA,NA
"325","Michigan",1972,"3,489,727","1,961,721","56.2","1,459,435","41.8",NA,NA
"335","Minnesota",1972,"1,741,652","898,269","51.6","802,346","46.1",NA,NA
"345","Mississippi",1972,"645,963","505,125","78.2","126,782","19.6",NA,NA
"355","Missouri",1972,"1,855,803","1,153,852","62.2","697,147","37.6",NA,NA
"365","Montana",1972,"317,603","183,976","57.9","120,197","37.8",NA,NA
"375","Nebraska",1972,"576,289","406,298","70.5","169,991","29.5",NA,NA
"385","Nevada",1972,"181,766","115,750","63.7","66,016","36.3",NA,NA
"395","New Hampshire",1972,"334,055","213,724","64.0","116,435","34.9",NA,NA
"405","New Jersey",1972,"2,997,229","1,845,502","61.6","1,102,211","36.8",NA,NA
"415","New Mexico",1972,"386,241","235,606","61.0","141,084","36.5",NA,NA
"425","New York",1972,"7,165,919","4,192,778","58.5","2,951,084","41.2",NA,NA
"435","North Carolina",1972,"1,518,612","1,054,889","69.5","438,705","28.9",NA,NA
"445","North Dakota",1972,"280,514","174,109","62.1","100,384","35.8",NA,NA
"455","Ohio",1972,"4,094,787","2,441,827","59.6","1,558,889","38.1",NA,NA
"465","Oklahoma",1972,"1,029,900","759,025","73.7","247,147","24.0",NA,NA
"475","Oregon",1972,"927,946","486,686","52.4","392,760","42.3",NA,NA
"485","Pennsylvania",1972,"4,592,106","2,714,521","59.1","1,796,951","39.1",NA,NA
"495","Rhode Island",1972,"415,808","220,383","53.0","194,645","46.8",NA,NA
"505","South Carolina",1972,"673,960","477,044","70.8","186,824","27.7",NA,NA
"515","South Dakota",1972,"307,415","166,476","54.2","139,945","45.5",NA,NA
"525","Tennessee",1972,"1,201,182","813,147","67.7","357,293","29.7",NA,NA
"535","Texas",1972,"3,471,281","2,298,896","66.2","1,154,289","33.3",NA,NA
"545","Utah",1972,"478,476","323,643","67.6","126,284","26.4",NA,NA
"555","Vermont",1972,"186,947","117,149","62.7","68,174","36.5",NA,NA
"565","Virginia",1972,"1,457,019","988,493","67.8","438,887","30.1",NA,NA
"575","Washington",1972,"1,470,847","837,135","56.9","568,334","38.6",NA,NA
"585","West Virginia",1972,"762,399","484,964","63.6","277,435","36.4",NA,NA
"592","Wisconsin",1972,"1,852,890","989,430","53.4","810,174","43.7",NA,NA
"601","Wyoming",1972,"145,570","100,464","69.0","44,358","30.5",NA,NA
"104","Alabama",1976,"1,182,850","504,070","42.6","659,170","55.7",NA,NA
"116","Alaska",1976,"123,574","71,555","57.9","44,058","35.7",NA,NA
"126","Arizona",1976,"742,719","418,642","56.4","295,602","39.8",NA,NA
"136","Arkansas",1976,"767,535","267,903","34.9","498,604","65.0",NA,NA
"146","California",1976,"7,867,117","3,882,244","49.3","3,742,284","47.6",NA,NA
"156","Colorado",1976,"1,081,554","584,367","54.0","460,353","42.6",NA,NA
"166","Connecticut",1976,"1,381,526","719,261","52.1","647,895","46.9",NA,NA
"176","Delaware",1976,"235,834","109,831","46.6","122,596","52.0",NA,NA
"186","District of Columbia",1976,"168,830","27,873","16.5","137,818","81.6",NA,NA
"196","Florida",1976,"3,150,631","1,469,531","46.6","1,636,000","51.9",NA,NA
"206","Georgia",1976,"1,467,458","483,743","33.0","979,409","66.7",NA,NA
"216","Hawaii",1976,"291,301","140,003","48.1","147,375","50.6",NA,NA
"226","Idaho",1976,"344,071","204,151","59.3","126,549","36.8",NA,NA
"236","Illinois",1976,"4,718,914","2,364,269","50.1","2,271,295","48.1",NA,NA
"246","Indiana",1976,"2,220,362","1,183,958","53.3","1,014,714","45.7",NA,NA
"256","Iowa",1976,"1,279,306","632,863","49.5","619,931","48.5",NA,NA
"266","Kansas",1976,"957,845","502,752","52.5","430,421","44.9",NA,NA
"276","Kentucky",1976,"1,167,142","531,852","45.6","615,717","52.8",NA,NA
"286","Louisiana",1976,"1,278,439","587,446","46.0","661,365","51.7",NA,NA
"296","Maine",1976,"483,216","236,320","48.9","232,279","48.1",NA,NA
"306","Maryland",1976,"1,439,897","672,661","46.7","759,612","52.8",NA,NA
"316","Massachusetts",1976,"2,547,558","1,030,276","40.4","1,429,475","56.1",NA,NA
"326","Michigan",1976,"3,653,749","1,893,742","51.8","1,696,714","46.4",NA,NA
"336","Minnesota",1976,"1,949,931","819,395","42.0","1,070,440","54.9",NA,NA
"346","Mississippi",1976,"769,361","366,846","47.7","381,309","49.6",NA,NA
"356","Missouri",1976,"1,953,600","927,443","47.5","998,387","51.1",NA,NA
"366","Montana",1976,"328,734","173,703","52.8","149,259","45.4",NA,NA
"376","Nebraska",1976,"607,668","359,705","59.2","233,692","38.5",NA,NA
"386","Nevada",1976,"201,876","101,273","50.2","92,479","45.8",NA,NA
"396","New Hampshire",1976,"339,618","185,935","54.7","147,635","43.5",NA,NA
"406","New Jersey",1976,"3,014,472","1,509,688","50.1","1,444,653","47.9",NA,NA
"416","New Mexico",1976,"418,409","211,419","50.5","201,148","48.1",NA,NA
"426","New York",1976,"6,534,170","3,100,791","47.5","3,389,558","51.9",NA,NA
"436","North Carolina",1976,"1,678,914","741,960","44.2","927,365","55.2",NA,NA
"446","North Dakota",1976,"297,188","153,470","51.6","136,078","45.8",NA,NA
"456","Ohio",1976,"4,111,873","2,000,505","48.7","2,011,621","48.9",NA,NA
"466","Oklahoma",1976,"1,092,251","545,708","50.0","532,442","48.7",NA,NA
"476","Oregon",1976,"1,029,876","492,120","47.8","490,407","47.6",NA,NA
"486","Pennsylvania",1976,"4,620,787","2,205,604","47.7","2,328,677","50.4",NA,NA
"496","Rhode Island",1976,"411,170","181,249","44.1","227,636","55.4",NA,NA
"506","South Carolina",1976,"802,583","346,149","43.1","450,807","56.2",NA,NA
"516","South Dakota",1976,"300,678","151,505","50.4","147,068","48.9",NA,NA
"526","Tennessee",1976,"1,476,345","633,969","42.9","825,879","55.9",NA,NA
