"","st","NAME","PARTY","ELECYR","ELECTP","POS.PCT","NEG.PCT"
"288","AR","Clinton",1,1992,1,58,"42"
"289","AR","Clinton",1,1992,1,54,"46"
"290","AR","Clinton",1,1992,1,61,"39"
"291","AR","Clinton",1,1992,1,56,"44"
"292","AR","Clinton",1,1996,2,53,"44"
"293","AR","GW Bush",2,2000,1,87,"9"
"294","AR","GW Bush",2,2000,1,70,"26"
"295","AR","GW Bush",2,2000,1,61,"32"
"296","AR","GW Bush",2,2000,1,64,"31"
"297","AR","GW Bush",2,2000,1,75,"25"
"298","AR","GW Bush",2,2000,1,62,"36"
"299","AR","GW Bush",2,2000,1,47,"46"
"300","AR","GW Bush",2,2000,1,50,"45"
"301","AR","GW Bush",2,2000,1,51,"42"
"302","AR","GW Bush",2,2004,2,41,"53"
"303","AR","GW Bush",2,2004,2,44,"52"
"304","AR","GW Bush",2,2004,2,40,"56"
"305","AR","GW Bush",2,2004,2,41,"57"
"306","AR","GW Bush",2,2004,2,38,"58"
"307","AR","GW Bush",2,2004,2,38,"56"
"308","AR","GW Bush",2,2004,2,40,"57"
"309","AR","GW Bush",2,2004,2,38,"59"
"310","AR","GW Bush",2,2004,2,38,"59"
"311","AR","GW Bush",2,2004,2,41,"56"
"312","AR","GW Bush",2,2004,2,34,"62"
"313","AR","GW Bush",2,2004,2,38,"60"
"314","AR","GW Bush",2,2004,2,32,"64"
"315","AR","GW Bush",2,2004,2,35,"64"
"316","AR","GW Bush",2,2004,2,37,"60"
"317","AR","GW Bush",2,2004,2,35,"63"
"318","AR","GW Bush",2,2004,2,36,"60"
"319","AR","GW Bush",2,2004,2,34,"62"
"320","AR","GW Bush",2,2004,2,41,"55"
"321","AR","GW Bush",2,2004,2,36,"62"
"322","AR","GW Bush",2,2004,2,44,"54"
"323","AR","GW Bush",2,2004,2,38,"61"
"324","AR","GW Bush",2,2004,2,30,"65"
"325","AR","GW Bush",2,2004,2,27,"67"
"326","AR","Obama",1,2008,1,42,"54"
"327","AR","Obama",1,2008,1,39,"59"
"328","AR","Obama",1,2008,1,42,"47"
"329","CA","F. Roosevelt",1,1932,1,36,"6"
"330","CA","Truman",1,1945,4,33,"8"
"331","CA","Eisenhower",2,1956,1,27,"16"
"332","CA","Kennedy",1,1960,1,39,"9"
"333","CA","Johnson",1,1964,2,17,"80"
"334","CA","Johnson",1,1964,2,21,"37"
"335","CA","Johnson",1,1964,2,27,"64"
"336","CA","Johnson",1,1964,2,33,"58"
"337","CA","Johnson",1,1964,2,39,"55"
"338","CA","Johnson",1,1964,2,40,"50"
"339","CA","Johnson",1,1964,2,41,"51"
"340","CA","Johnson",1,1964,2,55,"43"
"341","CA","Johnson",1,1964,2,17,"12"
"342","CA","Nixon",2,1968,1,17,"32"
"343","CA","Ford",2,1974,4,16,"32"
"344","CA","Carter",1,1976,1,53,"35"
"345","CA","Carter",1,1976,1,27,"27"
"346","CA","Carter",1,1976,1,13,"17"
"347","CA","Reagan",2,1980,1,64,"28"
"348","CA","Bush",2,1988,1,48,"52"
"349","CA","Bush",2,1988,1,42,"49"
"350","CA","Bush",2,1988,1,26,"24"
"351","CA","Bush",2,1988,1,43,"36"
"352","CA","Bush",2,1988,1,39,"55"
"353","CA","Bush",2,1988,1,40,"60"
"354","CA","Bush",2,1988,1,62,"37"
"355","CA","Bush",2,1988,1,63,"37"
"356","CA","Bush",2,1988,1,66,"29"
"357","CA","Bush",2,1988,1,67,"33"
"358","CA","Bush",2,1988,1,25,"75"
"359","CA","Bush",2,1988,1,32,"68"
"360","CA","Bush",2,1988,1,55,"45"
"361","CA","Bush",2,1988,1,66,"28"
"362","CA","Bush",2,1988,1,66,"34"
"363","CA","Bush",2,1988,1,61,"34"
"364","CA","Bush",2,1988,1,64,"29"
"365","CA","Bush",2,1988,1,37,"63"
"366","CA","Bush",2,1988,1,67,"33"
"367","CA","Bush",2,1988,1,74,"26"
"368","CA","Bush",2,1988,1,66,"34"
"369","CA","Bush",2,1988,1,84,"13"
"370","CA","Bush",2,1988,1,82,"16"
"371","CA","Bush",2,1988,1,65,"34"
"372","CA","Bush",2,1988,1,68,"32"
"373","CA","Bush",2,1988,1,74,"23"
"374","CA","Bush",2,1988,1,75,"23"
"375","CA","Bush",2,1988,1,57,"43"
"376","CA","Bush",2,1988,1,65,"29"
"377","CA","Bush",2,1988,1,53,"41"
"378","CA","Bush",2,1988,1,46,"23"
"379","CA","Bush",2,1988,1,38,"53"
"380","CA","Clinton",1,1992,1,50,"43"
"381","CA","Clinton",1,1992,1,50,"43"
"382","CA","Clinton",1,1992,1,58,"28"
"383","CA","Clinton",1,1992,1,51,"29"
"384","CA","Clinton",1,1992,1,45,"53"
"385","CA","Clinton",1,1992,1,31,"55"
"386","CA","Clinton",1,1992,1,42,"49"
"387","CA","Clinton",1,1992,1,27,"70"
"388","CA","Clinton",1,1992,1,50,"44"
"389","CA","Clinton",1,1992,1,51,"49"
"390","CA","Clinton",1,1992,1,38,"60"
"391","CA","Clinton",1,1992,1,49,"43"
"392","CA","Clinton",1,1992,1,51,"39"
"393","CA","Clinton",1,1992,1,39,"57"
"394","CA","Clinton",1,1992,1,59,"36"
"395","CA","Clinton",1,1992,1,43,"54"
"396","CA","Clinton",1,1992,1,38,"60"
"397","CA","Clinton",1,1992,1,56,"37"
"398","CA","Clinton",1,1992,1,35,"63"
"399","CA","Clinton",1,1992,1,42,"58"
"400","CA","Clinton",1,1992,1,44,"49"
"401","CA","Clinton",1,1992,1,32,"65"
"402","CA","Clinton",1,1992,1,32,"65"
"403","CA","Clinton",1,1992,1,50,"39"
"404","CA","Clinton",1,1992,1,44,"50"
"405","CA","Clinton",1,1992,1,35,"62"
"406","CA","Clinton",1,1992,1,50,"43"
"407","CA","Clinton",1,1992,1,47,"46"
"408","CA","Clinton",1,1992,1,36,"62"
"409","CA","Clinton",1,1992,1,40,"48"
"410","CA","Clinton",1,1992,1,46,"44"
"411","CA","Clinton",1,1992,1,41,"59"
"412","CA","Clinton",1,1992,1,33,"63"
"413","CA","Clinton",1,1992,1,50,"41"
"414","CA","Clinton",1,1992,1,51,"49"
"415","CA","Clinton",1,1992,1,37,"62"
"416","CA","Clinton",1,1992,1,36,"60"
"417","CA","Clinton",1,1992,1,52,"41"
"418","CA","Clinton",1,1992,1,52,""
"419","CA","Clinton",1,1992,1,38,"61"
"420","CA","Clinton",1,1992,1,50,"50"
"421","CA","Clinton",1,1992,1,55,"37"
"422","CA","Clinton",1,1992,1,56,"39"
"423","CA","Clinton",1,1992,1,57,""
"424","CA","Clinton",1,1992,1,48,"52"
"425","CA","Clinton",1,1992,1,38,"60"
"426","CA","Clinton",1,1992,1,55,"39"
"427","CA","Clinton",1,1992,1,58,"37"
"428","CA","Clinton",1,1992,1,51,"49"
"429","CA","Clinton",1,1992,1,60,"37"
"430","CA","Clinton",1,1992,1,55,"43"
"431","CA","Clinton",1,1992,1,62,"37"
"432","CA","Clinton",1,1992,1,60,"37"
"433","CA","Clinton",1,1996,2,54,"35"
"434","CA","Clinton",1,1996,2,61,"35"
"435","CA","Clinton",1,1996,2,55,"38"
"436","CA","Clinton",1,1996,2,63,"31"
"437","CA","Clinton",1,1996,2,51,"49"
"438","CA","Clinton",1,1996,2,61,"32"
"439","CA","Clinton",1,1996,2,61,"32"
"440","CA","Clinton",1,1996,2,51,"43"
"441","CA","Clinton",1,1996,2,65,"28"
"442","CA","Clinton",1,1996,2,60,"40"
"443","CA","Clinton",1,1996,2,68,"28"
"444","CA","Clinton",1,1996,2,61,"30"
"445","CA","Clinton",1,1996,2,72,"25"
"446","CA","Clinton",1,1996,2,31,"66"
"447","CA","Clinton",1,1996,2,63,"34"
"448","CA","Clinton",1,1996,2,65,"32"
"449","CA","Clinton",1,1996,2,86,"10"
"450","CA","Clinton",1,1996,2,52,"48"
"451","CA","Clinton",1,1996,2,65,"32"
"452","CA","Clinton",1,1996,2,68,"28"
"453","CA","Clinton",1,1996,2,57,"38"
"454","CA","Clinton",1,1996,2,60,"34"
"455","CA","Clinton",1,1996,2,58,""
"456","CA","Clinton",1,1996,2,55,"44"
"457","CA","Clinton",1,1996,2,57,"28"
"458","CA","Clinton",1,1996,2,62,"27"
"459","CA","Clinton",1,1996,2,64,"30"
"460","CA","Clinton",1,1996,2,75,"16"
"461","CA","Clinton",1,1996,2,62,"36"
"462","CA","Clinton",1,1996,2,68,"29"
"463","CA","Clinton",1,1996,2,57,"43"
"464","CA","Clinton",1,1996,2,58,"42"
"465","CA","Clinton",1,1996,2,62,"36"
"466","CA","GW Bush",2,2000,1,42,"40"
"467","CA","GW Bush",2,2000,1,74,"16"
"468","CA","GW Bush",2,2000,1,74,"16"
"469","CA","GW Bush",2,2000,1,80,"16"
"470","CA","GW Bush",2,2000,1,74,"20"
"471","CA","GW Bush",2,2000,1,72,"21"
"472","CA","GW Bush",2,2000,1,75,"22"
"473","CA","GW Bush",2,2000,1,76,"22"
"474","CA","GW Bush",2,2000,1,63,"28"
"475","CA","GW Bush",2,2000,1,69,"26"
"476","CA","GW Bush",2,2000,1,54,"43"
"477","CA","GW Bush",2,2000,1,54,"45"
"478","CA","GW Bush",2,2000,1,51,"45"
"479","CA","GW Bush",2,2000,1,48,"48"
"480","CA","GW Bush",2,2000,1,61,"31"
"481","CA","GW Bush",2,2000,1,57,"39"
"482","CA","GW Bush",2,2000,1,48,"44"
"483","CA","GW Bush",2,2000,1,56,"39"
"484","CA","GW Bush",2,2000,1,49,"44"
"485","CA","GW Bush",2,2000,1,49,"41"
"486","CA","GW Bush",2,2000,1,43,"52"
"487","CA","GW Bush",2,2000,1,53,"42"
"488","CA","GW Bush",2,2000,1,50,"45"
"489","CA","GW Bush",2,2000,1,43,"50"
"490","CA","GW Bush",2,2000,1,46,"48"
"491","CA","GW Bush",2,2000,1,40,"52"
"492","CA","GW Bush",2,2000,1,39,"55"
"493","CA","GW Bush",2,2000,1,33,"57"
