"","year","state","st","gov_name","term_in_office","gov_party","last_term","term_length","limit_type","lame_duck_last_term","gov_pres_same_elect_year","gov_pres_same_party","winner_endorsements","winner_primary_candidates","runnerup_endorsements","runnerup_primary_candidates","unemployment","state_cpi","gross_state_product","change_gsp","total_debt_outstanding_gsp","change_total_debt_outstanding_gsp","scaled_total_debt_outstanding_gsp","change_scaled_total_debt_outstanding_gsp","electoral_competitiveness","citizen_ideology","state_ideology","stimson_mood","gub_dem_vote_prop","votes_for_runnerup","votes_for_winner","total_gub_votes","winner_vote_proportion","runnerup_vote_proportion","diff_vote_proportion","mean_gub_approve","mean_gub_disapprove","Republican_Popular_Vote","Democrat_Popular_Vote","Third_Party_Popular_Vote","total_popular_votes","Republican_Popular_Vote_Proportion","Democrat_Popular_Vote_Proportion","Third_Party_Popular_Vote_Proportion","mean_pres_approve","mean_pres_disapprove","pres_party"
"253",1971,"Idaho","ID","Andrus, Cecil D.",2,1,1,4,0,0,0,1,0,3,NA,NA,6.08999996,0.424185142857143,40714.9285714286,0.0842025963869154,3.356794055,-0.0366883757492369,-2.76500459998571,0.000387448505854117,0.937788151428571,34.1460642142857,-0.285390332444444,42.5409283571429,0.52219999,117343.666666667,206312.666666667,331196,0.638066666666667,0.340479910401397,0.297586756265269,0.6,0.385,215015.25,122915,130395,386390,0.569,0.318,0.27,0.3,0.686666666666667,0
"254",1977,"Idaho","ID","Evans, John V.",0,1,0,4,0,0,0,0,NA,NA,NA,NA,5.79999995,0.29856199,28887,0.122141841820335,1.1306215,0.664995060619033,-3.7844369575,-0.0788803820985703,0.992700515,35.5357,-0.451072005,42.7574995,0.72820002,114149,169540,288566,0.5875,0.395573283061761,0.191926716938239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"255",1979,"Idaho","ID","Evans, John V.",2,1,1,4,0,0,0,0,NA,NA,NA,NA,8.0749999875,0.43211037375,38505.125,0.0444222911523079,3.9223849625,0.172392432121036,-2.15210378105,0.00242924220762632,0.92716387625,25.502225,-0.3603627525,37.613125375,0.59759998,175475.5,179397,356974,0.50285,0.491720424965356,0.0111295750346442,0.59,0.38,294111,109351,27058,424287.5,0.6945,0.258,0.062,NA,NA,1
"256",1995,"Idaho","ID","Batt, Philip E.",1,0,1,4,0,0,0,1,0,4,NA,NA,5.225,0.6842309975,79389.25,0.0455853083155948,5.43865,0.0637700978781589,-1.2317907705,-0.312358180350184,0.74833949,20.862575,-0.2167814975,28.22599975,0.45629999,110815,258095,381248,0.677,0.290663819875776,0.386336180124224,0.501666666666666,0.438333333333334,256595,165443,62518,491719,0.522,0.336,0.127,0.2975,0.7025,1
"257",1999,"Idaho","ID","Kempthorne, Dirk",1,0,0,4,0,0,0,1,0,2,NA,NA,5.225000025,0.773622245,93298,0.0415685109419453,6.432622575,0.0151618140292396,-0.3825517255,0.0891734496229001,0.653117255,20.3779,-0.25965175,30.40250075,0.30039999,171711,231566,411477,0.5628,0.417304004841097,0.145495995158903,0.43,0.55,336937,138637,12292,501621,0.672,0.276,0.025,0.4,0.57,1
"258",2003,"Idaho","ID","Kempthorne, Dirk",2,0,1,4,0,0,0,0,NA,NA,NA,NA,4.55208340833333,0.89707449,116274.5,0.0602526961074227,5.44317495,-0.0764568096399448,-1.7612146805,0.830530655737057,0.695460245,24.480975,-0.270150245,37.38350025,0.4258,198845,237437,450832,0.5267,0.441062302587217,0.0856376974127835,0.56375,0.32375,409235,181098,NA,598447,0.684,0.303,NA,0.555,0.415059523809523,0
"259",2007,"Idaho","ID","Otter, C. L. """"""""Butch""""""""",1,0,0,4,0,0,0,0,2,4,NA,NA,6.47083333333333,1.0208562825,137032.25,0.0355498671890475,6.210367475,0.0958911270256396,-1.7139542265,-0.156254392996262,0.7223884925,28.83039975,-0.212668745,40.90600025,0.4558,148680,267483,452535,0.5911,0.328549172992144,0.262550827007856,0.47,0.35,403012,236440,NA,655032,0.615,0.361,NA,0.44,0.515,0
"260",2011,"Idaho","ID","Otter, C. L. """"""""Butch""""""""",2,0,0,4,0,0,0,0,NA,NA,NA,NA,6.625,NA,NA,NA,NA,NA,NA,NA,NA,25.221833,-0.15686899,NA,NA,169556,235405,439830,0.5352,0.385503489984767,0.149696510015233,NA,NA,420911,212787,NA,652274,0.645,0.326,NA,NA,NA,1
"261",2015,"Idaho","ID","Otter, C. L. """"""""Butch""""""""",3,0,1,4,0,0,0,0,NA,NA,NA,NA,3.72222222222222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,409055,189765,28331,690255,0.593,0.275,0.041,NA,NA,1
"262",1950,"Illinois","IL","Stevensn II, Adlai",1,1,1,4,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.951394656666667,NA,NA,NA,0.57279998,NA,NA,NA,NA,NA,NA,NA,NA,2457327,2013920,NA,4481058,0.548,0.449,NA,NA,NA,1
"263",1953,"Illinois","IL","Stratton, William G.",1,0,0,4,0,0,0,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8432794925,NA,NA,51.418999,0.47420001,NA,NA,NA,NA,NA,NA,NA,NA,2623327,1775682,NA,4407407,0.595,0.403,NA,NA,NA,0
"264",1957,"Illinois","IL","Stratton, William G.",2,0,1,4,0,0,0,0,NA,NA,NA,NA,NA,0.117899,NA,NA,NA,NA,NA,NA,0.8874122375,58.5965,NA,50.5842495,0.4957,NA,NA,NA,NA,NA,NA,NA,NA,2368988,2377846,NA,4757409,0.498,0.5,NA,NA,NA,0
"265",1961,"Illinois","IL","Kerner, Otto",1,1,0,4,0,0,0,0,0,3,NA,NA,NA,0.1230844975,1893.5,0.0570342205323193,2.583425,-0.0379994380017165,-1.3185434443,0.166758856876603,0.99519825,53.7952005,NA,53.37725075,0.55620003,NA,NA,NA,NA,NA,NA,0.32,0.52,1905946,2796833,NA,4702841,0.405,0.595,NA,0.6,0.35,1
"266",1965,"Illinois","IL","Kerner, Otto",2,1,1,4,0,0,0,0,NA,NA,NA,NA,NA,0.141909,2268.33333333333,0.0636172937881639,2.32847,-0.0278024331492235,-1.777229436,0.111716888610216,0.993826013333333,46.592767,NA,58.984,0.51920003,NA,NA,NA,NA,NA,NA,0.61,0.34,NA,NA,NA,NA,NA,NA,NA,0.368,0.528,1
"267",1968,"Illinois","IL","Kerner, Otto followed by Samuel H. Shapiro",999,1,1,4,0,0,0,0,NA,NA,NA,NA,NA,0.158712,2497,0.0693790149892934,NA,NA,NA,NA,0.93880701,59.743698,NA,57.122002,0.48649999,2179501,2307295,4506000,0.512,0.483688637372392,0.0283113626276076,NA,NA,2174774,2039814,390958,4619749,0.471,0.442,0.085,NA,NA,1
"268",1969,"Illinois","IL","Ogilvie, Richard B.",1,0,1,4,0,0,0,0,0,4,NA,NA,NA,0.1870847475,3200.75,0.109048387106404,2.2603075,0.0201875691580268,-2.26823526105,0.0281855877331131,0.91192925,50.32732475,NA,50.29450025,0.48649999,2293809,2371301,4678802,0.5068,0.490255625264758,0.0165443747352421,NA,NA,2788179,1913472,NA,4723236,0.59,0.405,NA,NA,NA,0
"269",1973,"Illinois","IL","Walker, Daniel",1,1,1,4,0,0,0,1,1,2,NA,NA,6.79999995,0.2546385025,5523.25,0.149921910164207,2.789472525,0.0749416711156236,-1.88659000875,-0.0927781995091585,0.9506197425,53.20765025,-0.083940998,43.6115005,0.50830001,1606989,3000395,4635728,0.6472,0.34665299603428,0.30054700396572,NA,NA,2364269,2271295,NA,4718914,0.501,0.481,NA,NA,NA,0
"270",1977,"Illinois","IL","Thompson, James R.",1,0,0,2,0,0,0,1,9,2,NA,NA,6.14999985,0.3210005,7828,0.13297148699353,3.7687801,0.119833001582798,-1.1462783575,-0.184781744265879,0.947218505,48.09655,-0.114662,41.25,0.3488,1263134,1859684,3150095,0.5904,0.400982827502028,0.189417172497972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"271",1979,"Illinois","IL","Thompson, James R.",2,0,0,4,0,0,0,1,NA,NA,NA,NA,8.40000005,0.4297687575,10142,0.0611618859732256,4.327332475,0.0318440972370466,-1.13075497485,0.0516996493034276,0.98691225,48.7339495,-0.14414824725,38.423249,0.40450001,1811027,1816101,3673681,0.4944,0.492973396438069,0.00142660356193142,0.58,0.35,2358049,1981413,346754,4749721,0.496,0.417,0.073,NA,NA,1
"272",1983,"Illinois","IL","Thompson, James R.",3,0,0,4,0,0,0,0,NA,NA,NA,NA,9.4000002,0.5167149975,12671,0.0551369043125617,4.803492525,0.0500250817080014,-1.88739751225,0.161502098682194,0.985511495,52.7183245,-0.116876,42.06975,0.4993,1256626,1655849,3143978,0.5267,0.399693000396313,0.127006999603687,0.473333333333333,0.351666666666667,2707103,2086499,NA,4819088,0.562,0.433,NA,0.57,0.155,0
"273",1987,"Illinois","IL","Thompson, James R.",4,0,1,4,0,0,0,0,NA,NA,NA,NA,6.600000025,0.596892745,16048.5,0.0804507628505314,5.3679199,-7.31435486778786e-05,-1.7588234051,-0.0745021385562584,0.950981245,54.21627525,-0.11072049675,44.47225,0.112,1569217,1653126,3257410,0.5075,0.481737638184938,0.0257623618150616,0.39,0.54375,2310939,2215940,NA,4559120,0.507,0.486,NA,0.5,0.395,0
"274",1991,"Illinois","IL","Edgar, Jim",1,0,0,4,0,0,0,0,3,3,NA,NA,6.92499995,0.691320495,22009.75,0.0907720985557017,6.126775025,0.0201404655633058,-1.1635563856,-0.0665040983237131,0.9803825,51.72547525,-0.09243600175,42.51025,0.48699999,1069850,1984318,3106566,0.6387,0.344383476803648,0.294316523196352,0.49,0.379666666666667,1734096,2453350,840515,5050157,0.343,0.486,0.166,0.394583333333334,0.575,0
"275",1995,"Illinois","IL","Edgar, Jim",2,0,1,4,0,0,0,1,NA,NA,NA,NA,4.83333333333333,0.7748490125,28611.75,0.0390040061682625,5.91752495,0.00287560392365166,-0.7529158205,-0.0716064940875601,0.9048314975,53.7094745,-0.098143002,34.121501,0.35030001,1594191,1714094,3358705,0.5103,0.474644543060495,0.0356554569395049,0.594166666666667,0.23625,1587021,2341744,346408,4311391,0.368,0.543,0.08,0.51075,0.415222222222222,1
"276",1999,"Illinois","IL","Ryan, George",1,0,1,4,0,0,0,1,5,2,NA,NA,5.1500001,0.86040199,35695.75,0.0632959694863697,6.297157425,0.043561153219194,-0.5180168755,-0.250519884181155,0.97878325,56.64377475,-0.06371849975,37.39375075,0.48190001,1594960,1847040,3538891,0.5219,0.450694864577632,0.0712051354223682,0.395,0.418888888888889,2019421,2589026,103759,4742123,0.426,0.546,0.022,0.592916666666667,0.248333333333333,1
"277",2003,"Illinois","IL","Blagojevich, Rod R.",1,1,0,4,0,0,0,1,1,3,NA,NA,5.762499925,0.9608577425,45670.75,0.076699636430085,8.95721245,0.0697138699242739,1.7528228195,-4.21371169980417,0.870569245,59.678775,-0.0406857475,39.75275025,0.53659999,1369315,1736731,3487989,0.4979,0.392580079811031,0.105319920188969,0.4675,0.452222222222222,2345946,2891550,NA,5274322,0.445,0.548,NA,0.383134615384615,0.557548076923077,0
"278",2007,"Illinois","IL","Blagojevich, Rod R.",2,1,1,4,0,0,0,1,NA,NA,NA,NA,5.63333333333333,1.04848505,54778,0.0457686900332862,8.9190698,0.0156012920404422,1.232266907,-0.0456294720151636,0.824143975,68.3968505,-0.0859840045,43.0319995,0.55909997,NA,NA,NA,NA,NA,NA,0.2775,0.6525,2031527,3419673,NA,5523051,0.368,0.619,NA,0.28,0.675,0
"279",2009,"Illinois","IL","Quinn, Patrick",0,1,0,4,0,0,0,0,NA,NA,NA,NA,10.2833333333333,1.07356,54548,0.00248383608641275,9.2196999,0.0141733720037249,1.05785939,0.0436300588031589,0.812670025,60.0928495,-0.0900904995,41.7665005,0.55909997,1713385,1745219,3729989,0.4679,0.459353901579871,0.00854609842012938,0.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"280",2011,"Illinois","IL","Quinn, Patrick",1,1,1,4,0,0,0,0,NA,NA,NA,NA,8.70625,NA,NA,NA,NA,NA,NA,NA,NA,57.2545673333333,-0.157508,NA,NA,1681343,1823627,3627690,0.5027,0.463474828334284,0.0392251716657157,NA,NA,2135216,3019512,NA,5242014,0.407,0.576,NA,NA,NA,1
"281",2015,"Illinois","IL","Rauner, Bruce",1,0,1,4,0,0,0,0,NA,NA,NA,NA,5.58611111111111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2146015,3090729,209596,5536424,0.388,0.558,0.038,NA,NA,1
"282",1950,"Indiana","IN","Schricker, Henry F.",2,1,1,4,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.94335399,NA,NA,NA,0.54259998,NA,NA,NA,NA,NA,NA,NA,NA,1136259,801530,NA,1955049,0.581,0.41,NA,NA,NA,1
"283",1953,"Indiana","IN","Craig, George N.",1,0,1,4,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7791967525,NA,NA,49.578999,0.4391,NA,NA,NA,NA,NA,NA,NA,NA,1182811,783908,NA,1974607,0.599,0.397,NA,NA,NA,0
"284",1957,"Indiana","IN","Handley, Harold W.",1,0,1,4,1,1,0,0,NA,NA,NA,NA,NA,0.112373,NA,NA,NA,NA,NA,NA,0.8640939875,57.1581,NA,47.87325025,0.44159999,NA,NA,NA,NA,NA,NA,0.33,0.52,1175120,952358,NA,2135360,0.55,0.446,NA,NA,NA,0
"285",1961,"Indiana","IN","Welsh, Matthew E.",1,1,1,4,1,1,0,0,NA,NA,NA,NA,NA,0.11859925,40996,0.0750113883686794,2.943115,-0.0430439697140472,-0.9588534443,0.275736332980686,0.9774329975,50.29790025,NA,52.42150025,0.50550002,NA,NA,NA,NA,NA,NA,0.334705882352941,0.438235294117647,911118,1170848,NA,2091606,0.436,0.56,NA,0.56,0.4,1
"286",1965,"Indiana","IN","Branigin, Roger D.",1,1,1,4,1,1,0,0,NA,NA,NA,NA,NA,0.1420407475,51390.25,0.0732734936912814,2.59746995,-0.0365001769684073,-1.5584872641,0.143396026523415,0.90557949,41.49382575,NA,53.13475025,0.56370002,965816,1080262,2049063,0.5272,0.471345195340504,0.0558548046594956,0.66,0.24,1067885,806659,243108,2123597,0.503,0.38,0.114,0.63,0.35,1
"287",1969,"Indiana","IN","Whitcomb, Edgar E.",1,0,1,4,1,1,0,0,NA,NA,NA,NA,NA,0.1800392475,66120.75,0.0690144791700934,2.21968495,-0.0487053684254751,-2.30885781105,0.10295146115593,0.8300485025,47.49984925,NA,46.36849975,0.472,900489,1203903,2120847,0.5677,0.424589326811411,0.143110673188589,NA,NA,1405154,708568,NA,2125529,0.661,0.333,NA,NA,NA,0
"288",1973,"Indiana","IN","Bowen, Otis R.",1,0,0,4,2,0,0,0,NA,NA,NA,NA,7.35000015,0.2453074975,92513.75,0.0928214785447204,1.627352525,-0.0915036677677473,-3.04871000875,0.0603084748965935,0.8685655,47.93995025,-0.074219003,41.55299975,0.428,927243,1236555,2175324,0.5684,0.426255123374725,0.142144876625275,NA,NA,1183958,1014714,NA,2220362,0.533,0.457,NA,NA,NA,0
"289",1977,"Indiana","IN","Bowen, Otis R.",2,0,1,4,2,1,0,1,NA,NA,NA,NA,6.850000025,0.3434972475,131929,0.0853167465067871,1.091837475,-0.066737807827518,-4.02498776275,0.0704643086859456,0.92545149,39.5597505,-0.17474025,37.6169995,0.4262,913116,1257383,2178403,0.5772,0.419167619581868,0.158032380418132,NA,NA,1255656,844197,111639,2242033,0.56,0.377,0.05,NA,NA,1
"290",1981,"Indiana","IN","Orr, Robert D.",1,0,0,4,2,0,0,0,0,1,NA,NA,10.4250001,0.46485375,172819.75,0.0759665808827447,1.721064975,0.193067789718995,-4.201712081,-0.00294138036277702,0.7948295,44.75322525,-0.150567003,37.9020005,0.42050001,1036922,1146497,2197988,0.5216,0.471759627441096,0.0498403725589038,0.37,0.63,1377230,841481,NA,2233069,0.617,0.377,NA,0.36,0.64,0
"291",1985,"Indiana","IN","Orr, Robert D.",2,0,1,4,2,1,0,0,NA,NA,NA,NA,6.95000005,0.528660505,227096,0.067536155856412,2.678415025,0.120483340672223,-4.47661330425,-0.0143642150170195,0.8323014975,45.2451755,-0.17803225,39.64550125,0.4745,1002207,1138574,2140781,0.5318,0.468150175099648,0.0636498249003518,0.46,0.54,1297763,860643,NA,2168621,0.598,0.397,NA,0.595,0.405,0
"292",1989,"Indiana","IN","Bayh, Evan",1,1,0,4,2,0,0,1,0,2,NA,NA,5.925000075,0.62045224,285084,0.0497880698643064,3.815367475,0.0758016208471072,-3.46946469455,-0.0363390483990749,0.967889235,46.80582525,-0.147388,40.70899975,0.53179997,822533,1382151,2229116,0.62,0.368995153235632,0.251004846764368,0.622291666666667,0.230833333333334,989375,848420,455934,2305871,0.429,0.368,0.198,0.5,0.38,0
"293",1993,"Indiana","IN","Bayh, Evan",2,1,1,4,2,1,0,0,NA,NA,NA,NA,4.62500005,0.7022117675,354001.25,0.0579958968744263,3.87753755,-0.0161915919196206,-3.043025578,-0.0377772629114418,0.989879745,38.753026,-0.20126375,34.12849925,0.54500002,986982,1087128,2110047,0.5152,0.467753561887484,0.047446438112516,0.58,0.365,1006693,887424,224299,2135431,0.471,0.416,0.105,0.344722222222222,0.640277777777778,1
"294",1997,"Indiana","IN","O'Bannon, Frank L.",1,1,0,4,2,0,0,0,0,1,NA,NA,3.199999975,0.7805569925,440206.5,0.0546635678020705,3.87595255,0.00934162614688361,-2.756180531,-0.0102856358440279,0.9779670075,42.53884975,-0.1938300025,30.66199975,0.52410001,908285,1232525,2179413,0.5655,0.416756713849096,0.148743286150904,0.60725,0.31325,1245836,901980,18531,2199302,0.566,0.41,0.008,0.44,0.553333333333333,1
"295",2001,"Indiana","IN","O'Bannon, Frank L.",2,1,1,4,2,1,0,1,NA,NA,NA,NA,4.75,0.844640495,492257,0.0242519699416966,4.398515,0.066525346660722,-2.555560002,-0.0226037820156925,0.987837495,44.473951,-0.193399,36.209499,0.57569999,NA,NA,NA,NA,NA,NA,0.525,0.32,NA,NA,NA,NA,NA,NA,NA,0.825,0.08,0
"296",2003,"Indiana","IN","Split: Frank L. O'Bannon-D and Joseph E. Kernan-D",999,1,1,4,2,1,0,1,NA,NA,NA,NA,5.0999999,0.87378597,518592,0.0419059176186478,NA,NA,NA,NA,0.98892498,46.098999,-0.063688003,36.577,0.57569999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"297",2004,"Indiana","IN","Kernan, Joseph E.",1,1,1,4,2,0,0,1,NA,NA,NA,NA,5.3000002,0.898426,546661,0.0541254010860175,6.3364801,0.176518248511699,-0.892645916,-0.484300102970832,0.94612497,45.9883,-0.22457901,35.946999,0.46090001,1113900,1302912,2448498,0.5321,0.4549319623704,0.0771680376295999,0.51,NA,1479438,969011,NA,2468002,0.599,0.393,NA,0.222222222222222,0.481111111111111,0
"298",2005,"Indiana","IN","Daniels, Mitch",1,0,0,4,2,0,0,0,2,2,NA,NA,5.25625,0.970059005,609526.75,0.0391240018764135,7.0112275,0.0459589766640097,-0.450099435,-0.20283301176315,0.9004202625,51.5017005,-0.1833247475,37.15950025,0.46090001,1082463,1563885,2703752,0.5784,0.400355875834766,0.178044124165234,0.445059523809524,0.450029761904762,1345648,1374039,NA,2751054,0.489,0.499,NA,0.400412087912088,0.565659340659341,0
"299",2009,"Indiana","IN","Daniels, Mitch",2,0,1,4,2,1,0,1,NA,NA,NA,NA,9.52291666666668,1.0159,641744,0.0114889179702057,8.848495,0.0736533224338428,0.68665449,-2.64558342357009,0.924302995,41.461174,-0.24670967,39.4105,0.40900001,1200016,1275424,2577329,0.4949,0.465604507612338,0.0292954923876618,0.58,0.37,1420543,1152887,NA,2624534,0.541,0.439,NA,NA,NA,1
"300",2013,"Indiana","IN","Pence, Mike",1,0,1,4,NA,0,0,0,0,1,NA,NA,5.71458333333333,NA,NA,NA,NA,NA,NA,NA,NA,40.555199,NA,NA,NA,1235503,1397396,2719968,0.5138,0.454234388051624,0.0595656119483759,NA,NA,1557286,1033126,133993,2734958,0.569,0.378,0.049,NA,NA,1
"301",2017,"Indiana","IN","Holcomb, Eric",1,0,1,4,NA,NA,0,0,NA,NA,NA,NA,3.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"302",1950,"Kansas","KS","Hagaman, Frank L.",1,0,1,2,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.68656898,NA,NA,NA,0.45269999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"303",1951,"Kansas","KS","Arn, Edward F.",1,0,0,2,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.69299951,NA,NA,NA,0.45269999,NA,NA,NA,NA,NA,NA,NA,NA,616302,273296,NA,896166,0.688,0.305,NA,NA,NA,1
"304",1953,"Kansas","KS","Arn, Edward F.",2,0,1,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.68770301,NA,NA,NA,0.42519999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"305",1955,"Kansas","KS","Hall, Frederick L.",1,0,1,2,0,0,0,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.726415515,NA,NA,42.91,0.4646,NA,NA,NA,NA,NA,NA,NA,NA,566878,296317,NA,866243,0.654,0.342,NA,NA,NA,0
"306",1957,"Kansas","KS","Docking, George",1,1,0,2,0,0,0,1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.836509495,NA,NA,49.6690005,0.56830001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"307",1959,"Kansas","KS","Docking, George",2,1,1,2,0,0,0,1,NA,NA,NA,NA,NA,0.116305,NA,NA,NA,NA,NA,NA,0.89594698,48.951302,NA,49.5354995,0.57029998,NA,NA,NA,NA,NA,NA,NA,NA,561474,363213,NA,928825,0.604,0.391,NA,NA,NA,0
"308",1961,"Kansas","KS","Anderson, John Jr.",1,0,1,2,0,0,0,1,0,3,NA,NA,NA,0.1229810025,6276.5,0.0461287693561532,3.2974,-0.0420867042551897,-0.6045684443,0.507306525965681,0.7803797425,41.83757575,NA,55.5035,0.4402,NA,NA,NA,NA,NA,NA,NA,NA,386579,464028,NA,857901,0.451,0.541,NA,NA,NA,1
"309",1965,"Kansas","KS","Avery, William H.",1,0,1,2,0,0,0,1,0,5,NA,NA,NA,0.138275505,7116,0.0738966959007064,3.51917495,0.0309501391312191,-0.5021708849,0.192700433781229,0.788993505,27.7144005,NA,54.4490015,0.48050001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"310",1967,"Kansas","KS","Docking, Robert B.",3,1,0,2,0,0,0,0,0,2,NA,NA,NA,0.154,8123.5,0.0710962627647141,3.04242,-0.0925829391321008,-1.2481485933,0.51978483838271,0.877718505,29.68415,NA,52.660002,0.5553,410673,447269,862473,0.5186,0.476157514496106,0.042442485503894,NA,NA,478674,302996,88921,872783,0.548,0.347,0.102,NA,NA,1
"311",1969,"Kansas","KS","Docking, Robert B.",4,1,0,2,0,0,0,1,NA,NA,NA,NA,NA,0.1755435,9460.5,0.0721319659714447,2.436255,-0.0926168167011419,-1.9545144361,0.180383760117348,0.90607798,34.8992995,NA,49.8484995,0.52130002,333227,404611,745196,0.543,0.447166919843907,0.0958330801560931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"312",1971,"Kansas","KS","Docking, Robert B.",5,1,0,2,0,0,0,1,NA,NA,NA,NA,NA,0.199221,11475.5,0.11498273195886,1.89587505,-0.121239820814121,-2.770441036,0.176483087401286,0.8966375,40.0043505,NA,50.251499,0.54839998,341438,571256,921550,0.6199,0.370504042102979,0.249395957897021,NA,NA,619812,270287,NA,916095,0.677,0.295,NA,NA,NA,0
"313",1973,"Kansas","KS","Docking, Robert B.",6,1,1,2,0,0,0,1,NA,NA,NA,NA,NA,0.233881505,14531.5,0.115188661075051,1.37335505,-0.144557872515708,-3.2669989709,0.0664159245265235,0.9131065,42.9236985,NA,44.6485005,0.62589997,384115,387792,783875,0.4947,0.490020730346037,0.00467926965396265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"314",1975,"Kansas","KS","Bennett, Robert F.",1,0,1,4,2,0,0,0,0,4,NA,NA,3.999999875,0.297264495,19792.75,0.109593225997808,1.945005,0.110867063799672,-2.86840975205,-0.00362466671093598,0.90712501,41.1504755,-0.116116334333333,44.00750075,0.49759999,348015,363835,736246,0.4942,0.472688476405984,0.0215115235940161,NA,NA,502752,430421,NA,957845,0.525,0.449,NA,NA,NA,0
"315",1979,"Kansas","KS","Carlin, John",1,1,0,4,2,0,0,0,0,3,NA,NA,4.57500005,0.4252759975,30016.75,0.101405928759619,1.448672525,-0.104179907730362,-4.00941492485,0.0964359171311004,0.977509485,33.5399995,-0.104543748,39.499999,0.51109999,339356,405772,763263,0.5316,0.444612145485894,0.0869878545141058,NA,NA,566812,326150,68231,979795,0.579,0.333,0.07,NA,NA,1
"316",1983,"Kansas","KS","Carlin, John",2,1,1,4,2,1,0,1,NA,NA,NA,NA,6.999999925,0.50913275,39038,0.0571693787536931,0.9075077625,-0.0776889714846216,-5.78338227475,0.105420456390052,0.95402351,31.53854975,-0.2357897525,42.5460005,0.54460001,404338,436267,840605,0.519,0.481008321387572,0.037991678612428,NA,NA,677296,333149,NA,1021991,0.663,0.326,NA,NA,NA,0
"317",1987,"Kansas","KS","Hayden, Mike",1,0,1,4,2,0,0,0,0,6,NA,NA,4.7750001,0.5806070125,47887.5,0.0555144593899744,0.729747505,-0.0834330169463509,-6.3969958001,-0.0129569466052714,0.8671047375,37.86097525,-0.183286255,43.020749,0.48100001,333589,380609,783325,0.4859,0.425862828327961,0.0600371716720391,0.31,0.31,554049,422636,NA,993044,0.558,0.426,NA,NA,NA,0
"318",1991,"Kansas","KS","Finney, Joan",1,1,1,4,2,0,0,1,0,3,NA,NA,4.7750001,0.6686882525,58285,0.0511445664409938,1.201905755,0.345464666040656,-6.0884256556,-0.0508876853646081,0.941982745,36.9794245,-0.15581425,40.46800025,0.53289998,294733,526113,821030,0.6408,0.358979574436988,0.281820425563012,0.29,0.663333333333333,449951,390434,312358,1157335,0.389,0.337,0.27,0.34,0.57,0
"319",1995,"Kansas","KS","Graves, Bill",1,0,0,4,2,0,0,1,1,6,NA,NA,3.95,0.7439852525,71415.75,0.051478506321552,1.7243375,0.0130357862678499,-4.9461032705,-0.0175671316785013,0.7981845,34.990326,-0.23881974275,35.94900025,0.35910001,168243,544882,742665,0.7337,0.226539556866151,0.507160443133849,0.6705,0.256,583245,387659,92639,1074300,0.543,0.361,0.086,0.41,0.59,1
"320",1999,"Kansas","KS","Graves, Bill",2,0,1,4,2,1,0,1,NA,NA,NA,NA,4.025000025,0.8213019975,86946,0.0436050983889145,2.24986745,0.0845775852572927,-4.5653068505,-0.0104610821447466,0.74590324,29.32564975,-0.230319255,35.2910005,0.2359,376830,441858,835692,0.5287,0.450919716833475,0.0777802831665254,NA,NA,622332,399276,36086,1072218,0.58,0.372,0.034,0.5,0.46,1
