"","year","state","st","gov_name","term_in_office","gov_party","term_length","limit_type","lame_duck_last_term","gub_election","gov_pres_same_elect_year","gov_pres_same_party","unemployment","state_cpi","gross_state_product","lagged_gsp","change_gsp","electoral_competitiveness","citizen_ideology","state_ideology","stimson_mood","gub_dem_vote_prop","votes_for_runnerup","votes_for_winner","total_gub_votes","winner_vote_proportion","runnerup_vote_proportion","diff_vote_proportion","mean_gub_approve","mean_gub_disapprove","Republican_Popular_Vote","Democrat_Popular_Vote","Third_Party_Popular_Vote","total_popular_votes","Republican_Popular_Vote_Proportion","Democrat_Popular_Vote_Proportion","Third_Party_Popular_Vote_Proportion","mean_pres_approve","mean_pres_disapprove","pres_party"
"1786",1985,"Nebraska","NE","Kerrey, Bob",1,1,4,2,0,0,0,1,5.5,0.520675,96535,88151,0.095109527969053,NA,20.4846,-0.49494499,41.665001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1787",1986,"Nebraska","NE","Kerrey, Bob",1,1,4,2,0,1,0,1,5,0.529742,104785,96535,0.08546123167763,NA,20.7124,-0.043540001,43.244999,NA,265156,298325,564422,0.5285,0.469783247286605,0.0587167527133953,0.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1788",1987,"Nebraska","NE","Orr, Kay A.",1,0,4,2,0,0,0,0,4.9000001,0.54761499,113262,104785,0.0808989836331535,NA,37.732101,-0.21368299,43.792999,NA,NA,NA,NA,NA,NA,NA,0.55,0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1789",1988,"Nebraska","NE","Orr, Kay A.",1,0,4,2,0,0,0,0,3.5999999,0.568775,124303,113262,0.0974819445180202,NA,38.944199,-0.23647401,42.887001,NA,NA,NA,NA,NA,NA,NA,0.52,0.35,397956,259235,NA,661465,0.602,0.392,NA,NA,NA,NA
"1790",1989,"Nebraska","NE","Orr, Kay A.",1,0,4,2,0,0,0,0,3.0999999,0.59367597,133866,124303,0.0769329782869279,NA,43.854099,-0.019989001,45.042,NA,NA,NA,NA,NA,NA,NA,0.45,0.4575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1791",1990,"Nebraska","NE","Orr, Kay A.",1,0,4,2,0,1,0,0,2.2,0.62151599,139658,133866,0.0432671477447597,NA,35.163799,-0.088283002,46.377998,NA,288741,292771,586542,0.4991,0.492276767904089,0.00682323209591129,0.4625,0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1792",1991,"Nebraska","NE","Nelson, Earl """"""""Ben""""""""",1,1,4,2,0,0,0,1,2.7,0.64439201,146367,139658,0.0480387804493836,NA,38.897598,-0.036508001,43.161999,NA,NA,NA,NA,NA,NA,NA,0.59,0.21,NA,NA,NA,NA,NA,NA,NA,0.785,0.2,0
"1793",1992,"Nebraska","NE","Nelson, Earl """"""""Ben""""""""",1,1,4,2,0,0,0,1,3,0.66310501,159337,146367,0.0886128703874507,NA,53.491501,-0.104777,42.629002,NA,NA,NA,NA,NA,NA,NA,0.525,0.435,343678,216864,174104,737546,0.466,0.294,0.236,NA,NA,NA
"1794",1993,"Nebraska","NE","Nelson, Earl """"""""Ben""""""""",1,1,4,2,0,0,0,0,2.5999999,0.68073702,168006,159337,0.0544066977538173,NA,34.237202,-0.227184,41.249001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1795",1994,"Nebraska","NE","Nelson, Earl """"""""Ben""""""""",1,1,4,2,0,1,0,0,2.9000001,0.69954097,181288,168006,0.0790567003559397,NA,36.634899,-0.28629801,36.755001,NA,148230,423270,579561,0.7303,0.255762551310388,0.474537448689612,0.635,0.305,NA,NA,NA,NA,NA,NA,NA,0.333333333333333,0.623333333333333,1
"1796",1995,"Nebraska","NE","Nelson, Earl """"""""Ben""""""""",2,1,4,2,1,0,0,0,2.6,0.72009897,193467,181288,0.0671803980406867,NA,32.908298,-0.25446501,33.860001,NA,NA,NA,NA,NA,NA,NA,0.755,0.24,NA,NA,NA,NA,NA,NA,NA,0.4,0.6,1
"1797",1996,"Nebraska","NE","Nelson, Earl """"""""Ben""""""""",2,1,4,2,1,0,0,0,2.9000001,0.74448001,203815,193467,0.0534871580166127,NA,39.500599,-0.137798,31.983,NA,NA,NA,NA,NA,NA,NA,0.633333333333333,0.363333333333333,363467,236761,71278,677415,0.537,0.35,0.105,0.413333333333333,0.586666666666667,1
"1798",1997,"Nebraska","NE","Nelson, Earl """"""""Ben""""""""",2,1,4,2,1,0,0,0,2.5999999,0.762775,228824,203815,0.122704413315997,NA,28.82,-0.264624,30.809999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1799",1998,"Nebraska","NE","Nelson, Earl """"""""Ben""""""""",2,1,4,2,1,1,0,0,2.7,0.776402,242831,228824,0.0612129846519596,NA,32.677399,-0.24153,29.726999,NA,250678,293910,545238,0.539,0.4597588575998,0.0792411424001996,0.813333333333333,0.0566666666666667,NA,NA,NA,NA,NA,NA,NA,0.44,0.48,1
"1800",1999,"Nebraska","NE","Johanns, Mike",1,0,4,2,0,0,0,1,2.9000001,0.79409599,265927,242831,0.0951114149346666,NA,33.6731,-0.148965,29.659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1801",2000,"Nebraska","NE","Johanns, Mike",1,0,4,2,0,0,0,1,3,0.822182,281418,265927,0.0582528287838391,NA,25.4692,-0.221139,34.279999,NA,NA,NA,NA,NA,NA,NA,0.795,0.135,433862,231780,24540,697019,0.622,0.333,0.035,0.42,0.54,1
"1802",2001,"Nebraska","NE","Johanns, Mike",1,0,4,2,0,0,0,0,3.0999999,0.84532303,292171,281418,0.0382100647435488,NA,32.983898,-0.33520499,36.137001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1803",2002,"Nebraska","NE","Johanns, Mike",1,0,4,2,0,1,0,0,3.5999999,0.86018002,302072,292171,0.0338876890588047,NA,25.2827,-0.21893901,36.241001,NA,132348,330349,480991,0.6868,0.275156915617964,0.411643084382036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1804",2003,"Nebraska","NE","Johanns, Mike",2,0,4,2,1,0,0,0,4,0.88226002,310823,302072,0.0289699144574804,NA,27.186899,-0.14924601,37.424999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1805",2004,"Nebraska","NE","Johanns, Mike",2,0,4,2,1,0,0,0,3.8,0.906317,327547,310823,0.0538055420609156,NA,33.384102,-0.148634,35.814999,NA,NA,NA,NA,NA,NA,NA,NA,NA,512814,254328,NA,778186,0.659,0.327,NA,NA,NA,NA
"1806",2005,"Nebraska","NE","Heineman, Dave",0,0,4,2,0,0,0,0,3.8,0.937132,354973,327547,0.0837314950220884,NA,31.567801,-0.29489699,34.997002,NA,NA,NA,NA,NA,NA,NA,0.6,0.24125,NA,NA,NA,NA,NA,NA,NA,0.544285714285714,0.421428571428571,0
"1807",2006,"Nebraska","NE","Heineman, Dave",0,0,4,2,0,1,0,0,3.13333333333333,0.96363801,379050,354973,0.0678276939372853,NA,23.5173,-0.305682,37.356998,NA,145115,435507,593357,0.734,0.244566087532464,0.489433912467537,0.684545454545455,0.241818181818182,NA,NA,NA,NA,NA,NA,NA,0.489090909090909,0.483636363636364,0
"1808",2007,"Nebraska","NE","Heineman, Dave",1,0,4,2,0,0,0,0,3,0.988841,397975,379050,0.0499274502044584,NA,45.802502,-0.158411,40.426998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.41,0.53,0
"1809",2008,"Nebraska","NE","Heineman, Dave",1,0,4,2,0,0,0,0,3.34166666666667,1.02399,403927,397975,0.014955713298574,NA,48.302799,-0.15504,40.433998,NA,NA,NA,NA,NA,NA,NA,NA,NA,452979,333319,NA,801281,0.565,0.416,NA,0.3,0.655,0
"1810",2009,"Nebraska","NE","Heineman, Dave",1,0,4,2,0,0,0,0,4.64166666666667,1.01533,407032,403927,0.00768703255786307,NA,35.168098,-0.34349799,38.254002,NA,NA,NA,NA,NA,NA,NA,0.63,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1811",2010,"Nebraska","NE","Heineman, Dave",1,0,4,2,0,1,0,0,4.625,1.04221,424935,407032,0.0439842567660529,NA,19.2561,-0.198682,38.313,NA,127343,360645,487988,0.739,0.260955187422642,0.478044812577359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1812",2011,"Nebraska","NE","Heineman, Dave",3,0,4,2,1,0,0,0,4.39166666666667,NA,NA,424935,NA,NA,26.2136,-0.118015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1813",2012,"Nebraska","NE","Heineman, Dave",3,0,4,2,1,0,0,0,4.01666666666667,NA,NA,NA,NA,NA,37.978298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,475064,302081,NA,794379,0.598,0.38,NA,NA,NA,NA
"1814",2013,"Nebraska","NE","Heineman, Dave",3,0,4,2,1,0,0,0,3.76666666666667,NA,NA,NA,NA,NA,34.5457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1815",2014,"Nebraska","NE","Heineman, Dave",3,0,4,2,1,1,0,0,3.26666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,211905,308751,540202,0.5715,0.392269928656317,0.179230071343683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1816",2015,"Nebraska","NE","Ricketts, Pete",1,0,4,2,0,0,0,0,3.01666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1817",2016,"Nebraska","NE","Ricketts, Pete",1,0,4,2,0,0,0,0,3.09166666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,495961,284494,38946,844227,0.587,0.337,0.046,NA,NA,NA
"1818",2017,"Nebraska","NE","Ricketts, Pete",1,0,4,2,0,0,0,0,2.93333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1819",1950,"Nevada","NV","Pittman, Vail M.",1,1,4,0,0,1,0,0,NA,NA,NA,NA,NA,0.99152899,NA,NA,NA,0.42359999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1820",1951,"Nevada","NV","Russell, Charles H.",1,0,4,0,0,0,0,1,NA,NA,NA,NA,NA,0.97749501,NA,NA,NA,0.42359999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1821",1952,"Nevada","NV","Russell, Charles H.",1,0,4,0,0,0,0,1,NA,NA,NA,NA,NA,0.96663302,NA,NA,NA,0.42359999,NA,NA,NA,NA,NA,NA,NA,NA,50502,31688,NA,82190,0.614,0.386,NA,NA,NA,NA
"1822",1953,"Nevada","NV","Russell, Charles H.",1,0,4,0,0,0,0,0,NA,NA,NA,NA,NA,0.95577002,NA,NA,NA,0.42359999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1823",1954,"Nevada","NV","Russell, Charles H.",1,0,4,0,0,1,0,0,NA,NA,NA,NA,NA,0.95771801,NA,NA,NA,0.46900001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1824",1955,"Nevada","NV","Russell, Charles H.",2,0,4,0,0,0,0,0,NA,NA,NA,NA,NA,0.95966601,NA,NA,NA,0.46900001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1825",1956,"Nevada","NV","Russell, Charles H.",2,0,4,0,0,0,0,0,NA,NA,NA,NA,NA,0.96516401,NA,NA,41.477001,0.46900001,NA,NA,NA,NA,NA,NA,NA,NA,56049,40640,NA,96689,0.58,0.42,NA,NA,NA,NA
"1826",1957,"Nevada","NV","Russell, Charles H.",2,0,4,0,0,0,0,0,NA,NA,NA,NA,NA,0.97066098,NA,NA,42.171001,0.46900001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1827",1958,"Nevada","NV","Russell, Charles H.",2,0,4,0,0,1,0,0,NA,NA,NA,NA,NA,0.99381697,NA,NA,52.507,0.59920001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1828",1959,"Nevada","NV","Sawyer, Grant",1,1,4,0,0,0,0,1,NA,NA,NA,NA,NA,0.98302698,NA,NA,52.001999,0.59920001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1829",1960,"Nevada","NV","Sawyer, Grant",1,1,4,0,0,0,0,1,NA,0.14357699,NA,NA,NA,0.96620703,56.4958,NA,49.441002,0.59920001,NA,NA,NA,NA,NA,NA,NA,NA,52387,54880,NA,107267,0.488,0.512,NA,NA,NA,NA
"1830",1961,"Nevada","NV","Sawyer, Grant",1,1,4,0,0,0,0,0,NA,0.145427,NA,NA,NA,0.949386,53.300701,NA,54.383999,0.59920001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1831",1962,"Nevada","NV","Sawyer, Grant",1,1,4,0,0,1,0,0,NA,0.15098999,NA,NA,NA,0.94303799,53.399899,NA,57.548,0.66839999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1832",1963,"Nevada","NV","Sawyer, Grant",2,1,4,0,0,0,0,0,NA,0.15151399,1624,NA,NA,0.93668997,26.0168,NA,53.444,0.66839999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1833",1964,"Nevada","NV","Sawyer, Grant",2,1,4,0,0,0,0,0,NA,0.15330701,1591,1624,-0.020320197044335,0.89592397,25.693399,NA,51.084,0.66839999,NA,NA,NA,NA,NA,NA,NA,NA,56094,79339,NA,135433,0.414,0.586,NA,NA,NA,NA
"1834",1965,"Nevada","NV","Sawyer, Grant",2,1,4,0,0,0,0,0,NA,0.156654,1825,1591,0.147077309868008,0.85515797,21.117201,NA,47.476002,0.66839999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1835",1966,"Nevada","NV","Sawyer, Grant",2,1,4,0,0,1,0,0,NA,0.163139,1846,1825,0.0115068493150685,0.87148601,17.7981,NA,52.917999,0.47839999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1836",1967,"Nevada","NV","Laxalt, Paul D.",1,0,4,0,0,0,0,1,NA,0.16930801,1874,1846,0.0151679306608885,0.887815,16.8218,NA,58.563999,0.47839999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1837",1968,"Nevada","NV","Laxalt, Paul D.",1,0,4,0,0,0,0,1,NA,0.177846,1958,1874,0.0448239060832445,0.94191998,24.8433,NA,53.751999,0.47839999,NA,NA,NA,NA,NA,NA,NA,NA,73188,60598,20432,154218,0.475,0.393,0.132,NA,NA,NA
"1838",1969,"Nevada","NV","Laxalt, Paul D.",1,0,4,0,0,0,0,0,NA,0.190598,2178,1958,0.112359550561798,0.99602503,30.996799,NA,49.664001,0.47839999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1839",1970,"Nevada","NV","Laxalt, Paul D.",1,0,4,0,0,1,0,0,NA,0.201931,2294,2178,0.0532598714416896,0.99165601,31.1423,NA,50.012001,0.52329999,64400,70697,146991,0.481,0.438122061894946,0.0428779381050541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1840",1971,"Nevada","NV","O'Callaghan, Mike",1,1,4,2,0,0,0,1,NA,0.211375,2632,2294,0.147340889276373,0.987288,35.290199,NA,52.962002,0.52329999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1841",1972,"Nevada","NV","O'Callaghan, Mike",1,1,4,2,0,0,0,1,NA,0.21974701,3078,2632,0.169452887537994,0.93291903,25.3277,NA,47.987,0.52329999,NA,NA,NA,NA,NA,NA,NA,NA,115750,66016,NA,181766,0.637,0.363,NA,NA,NA,NA
"1842",1973,"Nevada","NV","O'Callaghan, Mike",1,1,4,2,0,0,0,1,NA,0.234327,4404,3078,0.430799220272905,0.87854999,41.5718,NA,44.029999,0.52329999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1843",1974,"Nevada","NV","O'Callaghan, Mike",1,1,4,2,0,1,0,1,NA,0.254756,4506,4404,0.0231607629427792,0.79734403,34.2924,NA,42.094002,0.79759997,28959,114114,169358,0.6738,0.170992808134248,0.502807191865752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1844",1975,"Nevada","NV","O'Callaghan, Mike",2,1,4,2,1,0,0,1,9.6999998,0.275406,4869,4506,0.0805592543275633,0.71613801,37.183899,NA,43.141998,0.79759997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1845",1976,"Nevada","NV","O'Callaghan, Mike",2,1,4,2,1,0,0,1,9,0.28942701,5052,4869,0.0375847196549599,0.673994,31.785299,-0.3335,41.570999,0.79759997,NA,NA,NA,NA,NA,NA,NA,NA,101273,92479,NA,201876,0.502,0.458,NA,NA,NA,NA
"1846",1977,"Nevada","NV","O'Callaghan, Mike",2,1,4,2,1,0,0,0,7,0.31701699,5243,5052,0.0378068091844814,0.63185,28.255199,0.38260001,39.655998,0.79759997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1847",1978,"Nevada","NV","O'Callaghan, Mike",2,1,4,2,1,1,0,0,4.4000001,0.345882,6417,5243,0.223917604424948,0.70113701,19.907,-0.070180997,39.505001,0.414,76361,108097,192445,0.5617,0.396793889163138,0.164906110836862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1848",1979,"Nevada","NV","List, Robert F.",1,0,4,2,0,0,0,1,5.0999999,0.38119,7218,6417,0.124824684431978,0.77042502,21.976299,0.29545599,34.492001,0.414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1849",1980,"Nevada","NV","List, Robert F.",1,0,4,2,0,0,0,1,6.1999998,0.42341101,7645,7218,0.0591576614020504,0.845963,21.4811,0.13472,33.777,0.414,NA,NA,NA,NA,NA,NA,NA,NA,155017,66666,17651,247885,0.625,0.269,0.071,NA,NA,NA
"1850",1981,"Nevada","NV","List, Robert F.",1,0,4,2,0,0,0,0,7.0999999,0.457452,9954,7645,0.302027468933944,0.92150003,21.346001,0.538131,34.966,0.414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1851",1982,"Nevada","NV","List, Robert F.",1,0,4,2,0,1,0,0,10.1,0.477411,9954,9954,0,0.88371599,26.886101,0.20431399,36.236,0.5614,100104,128132,239751,0.5344,0.417533190685336,0.116866809314664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1852",1983,"Nevada","NV","Bryan, Richard H.",1,1,4,2,0,0,0,1,9.8000002,0.48983201,10045,9954,0.00914205344585084,0.84593201,36.449001,-0.193159,37.747002,0.5614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1853",1984,"Nevada","NV","Bryan, Richard H.",1,1,4,2,0,0,0,1,7.8000002,0.50356001,10642,10045,0.0594325535092086,0.860232,43.027599,-0.106548,38.228001,0.5614,NA,NA,NA,NA,NA,NA,NA,NA,188770,91655,NA,286667,0.658,0.32,NA,NA,NA,NA
"1854",1985,"Nevada","NV","Bryan, Richard H.",1,1,4,2,0,0,0,1,8,0.517501,10655,10642,0.00122157489193753,0.87453097,36.111401,-0.074693002,40.257,0.5614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1855",1986,"Nevada","NV","Bryan, Richard H.",1,1,4,2,0,1,0,1,6,0.526007,9773,10655,-0.0827780384795871,0.90936798,37.834099,-0.16028,41.306999,0.7421,65081,187268,260375,0.7192,0.249951032165146,0.469248967834854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1856",1987,"Nevada","NV","Bryan, Richard H.",2,1,4,2,1,0,0,1,6.3000002,0.54148698,10306,9773,0.0545380128926634,0.94420499,50.9967,0.140792,41.535999,0.7421,NA,NA,NA,NA,NA,NA,0.675,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1857",1988,"Nevada","NV","Bryan, Richard H.",2,1,4,2,1,0,0,1,5.1999998,0.563335,9748,10306,-0.0541432175431787,0.92844701,44.837101,0.061074998,41.091999,0.7421,NA,NA,NA,NA,NA,NA,0.62,0.33,206040,132738,NA,350067,0.589,0.379,NA,NA,NA,NA
"1858",1989,"Nevada","NV","Miller, Bob J.",1,1,4,2,0,0,0,1,5,0.58823001,10729,9748,0.10063602790316,0.91268897,42.578701,-0.249819,42.643002,0.7421,NA,NA,NA,NA,NA,NA,0.45,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1859",1990,"Nevada","NV","Miller, Bob J.",1,1,4,2,0,1,0,1,4.9000001,0.61914998,11509,10729,0.0727001584490632,0.88938498,37.252701,-0.061225999,45.186001,0.6864,95789,207878,320743,0.6481,0.298647203524317,0.349452796475683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1860",1991,"Nevada","NV","Miller, Bob J.",1,1,4,2,0,0,0,1,5.5,0.63938701,11691,11509,0.0158137110087757,0.86607999,40.8088,-0.20177101,42.505001,0.6864,NA,NA,NA,NA,NA,NA,0.65,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1861",1992,"Nevada","NV","Miller, Bob J.",1,1,4,2,0,0,0,1,6.5999999,0.65685201,12896,11691,0.103070738174664,0.86509699,44.165901,-0.020558,43.216999,0.6864,NA,NA,NA,NA,NA,NA,0.5,0.46,175828,189148,132580,506318,0.347,0.374,0.262,NA,NA,NA
"1862",1993,"Nevada","NV","Miller, Bob J.",1,1,4,2,0,0,0,0,7.1999998,0.67283499,13049,12896,0.0118641439205955,0.86411399,44.751499,0.009078,41.312,0.6864,NA,NA,NA,NA,NA,NA,0.53,0.47,NA,NA,NA,NA,NA,NA,NA,0.39,0.6,1
"1863",1994,"Nevada","NV","Miller, Bob J.",1,1,4,2,0,1,0,0,6.5999999,0.68870598,14304,13049,0.0961759521802437,0.91364998,46.021599,-0.063683003,36.764999,0.56050003,156875,200026,379676,0.5268,0.4131812387404,0.1136187612596,0.48,0.52,NA,NA,NA,NA,NA,NA,NA,0.335,0.635,1
"1864",1995,"Nevada","NV","Miller, Bob J.",2,1,4,2,1,0,0,0,5,0.70637202,14842,14304,0.0376118568232662,0.96318501,44.07,-0.062518999,34.009998,0.56050003,NA,NA,NA,NA,NA,NA,0.58,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1865",1996,"Nevada","NV","Miller, Bob J.",2,1,4,2,1,0,0,0,5.4000001,0.72257698,16491,14842,0.111103624848403,0.97998202,39.511799,-0.157331,32.453999,0.56050003,NA,NA,NA,NA,NA,NA,0.54,0.45,199244,203974,43986,464279,0.429,0.439,0.095,0.436666666666667,0.596666666666667,1
"1866",1997,"Nevada","NV","Miller, Bob J.",2,1,4,2,1,0,0,0,4.0999999,0.73476702,15983,16491,-0.0308046813413377,0.99677998,32.097,-0.152622,32.467999,0.56050003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.38,0.62,1
"1867",1998,"Nevada","NV","Miller, Bob J.",2,1,4,2,1,1,0,0,4.3000002,0.753411,17056,15983,0.06713382969405,0.99036801,49.756199,-0.081028,30.990999,0.4488,182281,223892,433630,0.5163,0.42036067615248,0.0959393238475197,0.59,0.37,NA,NA,NA,NA,NA,NA,NA,0.475,0.525,1
"1868",1999,"Nevada","NV","Guinn, Kenny",1,0,4,2,0,0,0,1,4.4000001,0.77583498,17232,17056,0.0103189493433395,0.98395699,57.572498,-0.12544499,30.861,0.4488,NA,NA,NA,NA,NA,NA,0.48,0.325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1869",2000,"Nevada","NV","Guinn, Kenny",1,0,4,2,0,0,0,1,4.0999999,0.80589402,18250,17232,0.0590761374187558,0.98796201,50.774899,-0.19012301,36.416,0.4488,NA,NA,NA,NA,NA,NA,NA,NA,301575,279978,15008,608970,0.495,0.46,0.025,0.56,0.41,1
"1870",2001,"Nevada","NV","Guinn, Kenny",1,0,4,2,0,0,0,0,5.3000002,0.83250999,19105,18250,0.0468493150684932,0.99196702,52.066502,-0.31941599,42.259998,0.4488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1871",2002,"Nevada","NV","Guinn, Kenny",1,0,4,2,0,1,0,0,5.5,0.85568798,20420,19105,0.0688301491756085,0.98480397,47.810902,-0.16332,41.838001,0.2438,110935,344001,504079,0.6824,0.220074631159005,0.462325368840995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1872",2003,"Nevada","NV","Guinn, Kenny",2,0,4,2,1,0,0,0,5.1999998,0.88538498,22309,20420,0.0925073457394712,0.96157497,43.753799,-0.144852,42.118999,0.2438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1873",2004,"Nevada","NV","Guinn, Kenny",2,0,4,2,1,0,0,0,4.1999998,0.934753,23335,22309,0.0459904074588731,0.94727403,52.1376,-0.122042,42.320999,0.2438,NA,NA,NA,NA,NA,NA,NA,NA,418690,397190,NA,829587,0.505,0.479,NA,0.52,0.415,0
"1874",2005,"Nevada","NV","Guinn, Kenny",2,0,4,2,1,0,0,0,4.09166666666667,0.99026,24672,23335,0.0572959074351831,0.93297398,54.930199,-0.142929,49.004002,0.2438,NA,NA,NA,NA,NA,NA,0.575,0.32625,NA,NA,NA,NA,NA,NA,NA,0.3925,0.5775,0
"1875",2006,"Nevada","NV","Guinn, Kenny",2,0,4,2,1,1,0,0,4.05,1.03429,26068,24672,0.0565823605706874,0.95952898,55.382198,-0.024998,47.015999,0.47819999,255684,279003,582158,0.4793,0.439200354542925,0.0400996454570752,0.565454545454545,0.350909090909091,NA,NA,NA,NA,NA,NA,NA,0.366666666666667,0.6175,0
"1876",2007,"Nevada","NV","Gibbons, James A.",1,0,4,2,0,0,0,0,4.49166666666667,1.07664,28552,26068,0.0952892435169557,0.98608297,56.0261,-0.14327499,51.112999,0.47819999,NA,NA,NA,NA,NA,NA,0.308333333333333,0.461666666666667,NA,NA,NA,NA,NA,NA,NA,0.34,0.57,0
