"","st","year","unemployment"
"390","OH","2014","5.8"
"391","OK","2006","4.025"
"392","OK","2010","6.775"
"393","OK","2013","5.28333333333333"
"394","OK","2011","5.875"
"395","OK","2017","4.29166666666667"
"396","OK","2009","6.38333333333333"
"397","OK","2015","4.4"
"398","OK","2007","4.075"
"399","OK","2016","4.81666666666667"
"400","OK","2014","4.50833333333333"
"401","OK","2005","4.45833333333333"
"402","OK","2012","5.26666666666667"
"403","OK","2008","3.76666666666667"
"404","OR","2011","9.5"
"405","OR","2010","10.6083333333333"
"406","OR","2015","5.58333333333333"
"407","OR","2013","7.875"
"408","OR","2016","4.81666666666667"
"409","OR","2014","6.775"
"410","OR","2009","11.2583333333333"
"411","OR","2012","8.825"
"412","OR","2007","5.16666666666667"
"413","OR","2017","4.14166666666667"
"414","OR","2006","5.33333333333333"
"415","OR","2005","6.18333333333333"
"416","OR","2008","6.56666666666667"
"417","PA","2006","4.59166666666667"
"418","PA","2011","7.925"
"419","PA","2007","4.39166666666667"
"420","PA","2005","4.96666666666667"
"421","PA","2009","8.05"
"422","PA","2014","5.875"
"423","PA","2013","7.34166666666667"
"424","PA","2008","5.31666666666667"
"425","PA","2017","4.89166666666667"
"426","PA","2012","7.825"
"427","PA","2015","5.3"
"428","PA","2016","5.4"
"429","PA","2010","8.43333333333333"
"430","AZ","2015","6.04166666666667"
"431","AZ","2005","4.66666666666667"
"432","AZ","2009","9.925"
"433","AZ","2011","9.5"
"434","AZ","2010","10.35"
"435","AZ","2017","4.85833333333333"
"436","AZ","2006","4.225"
"437","AZ","2016","5.375"
"438","AZ","2013","7.74166666666667"
"439","AZ","2014","6.78333333333333"
"440","AZ","2007","3.825"
"441","AZ","2008","6.14166666666667"
"442","AZ","2012","8.33333333333333"
"443","RI","2017","4.45833333333333"
"444","RI","2011","11.025"
"445","RI","2013","9.26666666666667"
"446","RI","2005","5.04166666666667"
"447","RI","2009","10.975"
"448","RI","2012","10.3916666666667"
"449","RI","2008","7.80833333333333"
"450","RI","2006","4.94166666666667"
"451","RI","2010","11.2"
"452","RI","2015","6"
"453","RI","2007","5.19166666666667"
"454","RI","2014","7.70833333333333"
"455","RI","2016","5.20833333333333"
"456","SC","2009","11.2333333333333"
"457","SC","2013","7.61666666666667"
"458","SC","2008","6.85"
"459","SC","2006","6.45833333333333"
"460","SC","2010","11.1333333333333"
"461","SC","2005","6.71666666666667"
"462","SC","2012","9.2"
"463","SC","2014","6.45"
"464","SC","2016","4.975"
"465","SC","2015","5.95"
"466","SC","2007","5.65"
"467","SC","2017","4.25833333333333"
"468","SC","2011","10.5416666666667"
"469","SD","2014","3.40833333333333"
"470","SD","2005","3.8"
"471","SD","2013","3.78333333333333"
"472","SD","2017","3.325"
"473","SD","2008","3.1"
"474","SD","2010","4.975"
"475","SD","2015","3.11666666666667"
"476","SD","2011","4.725"
"477","SD","2016","3"
"478","SD","2007","2.825"
"479","SD","2009","4.925"
"480","SD","2006","3.11666666666667"
"481","SD","2012","4.26666666666667"
"482","TN","2005","5.55833333333333"
"483","TN","2007","4.66666666666667"
"484","TN","2008","6.625"
"485","TN","2009","10.4583333333333"
"486","TN","2014","6.59166666666667"
"487","TN","2017","3.71666666666667"
"488","TN","2015","5.59166666666667"
"489","TN","2013","7.73333333333333"
"490","TN","2016","4.725"
"491","TN","2012","7.825"
"492","TN","2011","8.96666666666667"
"493","TN","2010","9.63333333333333"
"494","TN","2006","5.225"
"495","TX","2014","5.10833333333333"
"496","TX","2009","7.56666666666667"
"497","TX","2011","7.75833333333333"
"498","TX","2005","5.40833333333333"
"499","TX","2006","4.89166666666667"
"500","TX","2017","4.25833333333333"
"501","TX","2016","4.64166666666667"
"502","TX","2008","4.825"
"503","TX","2010","8.13333333333333"
"504","TX","2013","6.25"
"505","TX","2015","4.425"
"506","TX","2012","6.74166666666667"
"507","TX","2007","4.275"
"508","UT","2014","3.825"
"509","UT","2005","4.075"
"510","UT","2013","4.59166666666667"
"511","UT","2009","7.31666666666667"
"512","UT","2011","6.75"
"513","UT","2017","3.25833333333333"
"514","UT","2016","3.44166666666667"
"515","UT","2006","2.98333333333333"
"516","UT","2010","7.83333333333333"
"517","UT","2008","3.58333333333333"
"518","UT","2015","3.6"
"519","UT","2012","5.4"
"520","UT","2007","2.59166666666667"
"521","VA","2010","7.125"
"522","VA","2014","5.23333333333333"
"523","VA","2015","4.45833333333333"
"524","VA","2013","5.7"
"525","VA","2005","3.575"
"526","VA","2011","6.59166666666667"
"527","VA","2009","6.68333333333333"
"528","VA","2016","4.09166666666667"
"529","VA","2007","3.04166666666667"
"530","VA","2006","3.11666666666667"
"531","VA","2017","3.75"
"532","VA","2012","6.05833333333333"
"533","VA","2008","3.95833333333333"
"534","VT","2005","3.49166666666667"
"535","VT","2015","3.575"
"536","VT","2009","6.56666666666667"
"537","VT","2013","4.40833333333333"
"538","VT","2007","4.025"
"539","VT","2010","6.08333333333333"
"540","VT","2014","3.95"
"541","VT","2012","4.925"
